Course_Title,Degree_Level,Course_Domain,Start_Date,End_Date,Course_Link
BSc (Hons) Business Analytics and Management with a Year Abroad,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-business-analytics-and-management-with-a-year-abroad
BSc (Hons) Business Analytics and Management,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-business-analytics-and-management
BSc (Hons) Biomedicine,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-biomedicine
BSc (Hons) Biological Sciences (with a Year Abroad),UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-biological-sciences-with-a-year-abroad
BSc (Hons) Biological Sciences with a Placement Year,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-biological-sciences-with-a-placement-year
BSc (Hons) Biological Sciences with a Foundation Year,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-biological-sciences-with-a-foundation-year
BSc (Hons) Biological Sciences,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-biological-sciences
BSc (Hons) Biochemistry,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-biochemistry
BSc (Hons) Actuarial Science (with a Year in Industry),UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-actuarial-science-with-a-year-in-industry
BSc (Hons) Actuarial Science with a Year Abroad,UNDERGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-actuarial-science-with-a-year-abroad
BSc (Hons) Actuarial Science,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-actuarial-science
BSc (Hons) Accounting and Management with a Year in Industry,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-accounting-and-management-with-a-year-in-industry
BSc (Hons) Accounting and Management with a Year Abroad,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-accounting-and-management-with-a-year-abroad
BSc (Hons) Accounting and Management,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-accounting-and-management
BSc (Hons) Accounting and Finance with a Year in Industry,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-accounting-and-finance-with-a-year-in-industry
BSc (Hons) Accounting and Finance with a Year Abroad,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-accounting-and-finance-with-a-year-abroad
BSc (Hons) Accounting and Finance,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-accounting-and-finance
BEng (Hons) Mechanical Engineering,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/beng-mechanical-engineering
BEng (Hons) Engineering with a Year in Industry,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/beng-engineering-with-a-year-in-industry
BEng (Hons) Engineering with a Foundation Year,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/beng-engineering-with-a-foundation-year
BEng (Hons) Engineering,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/beng-engineering
BEng (Hons) Energy Engineering,UNDERGRADUATE,COMPUTING SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/beng-energy-engineering
BEng (Hons) Electrical and Electronic Engineering with a Year in Industry,UNDERGRADUATE,ENGINEERING,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/beng-electrical-and-electronic-engineering-with-a-year-in-industry
BEng (Hons) Electrical and Electronic Engineering,UNDERGRADUATE,ENGINEERING,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/beng-electrical-and-electronic-engineering
BEng (Hons) Computer Systems Engineering with a Year in Industry,UNDERGRADUATE,ENGINEERING,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/beng-computer-systems-engineering-with-a-year-in-industry
BEng (Hons) Computer Systems Engineering,UNDERGRADUATE,ENGINEERING,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/beng-computer-systems-engineering
"BA (Hons) Translation, Media and Modern Languages",UNDERGRADUATE,ENGINEERING,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-translation-media-and-modern-languages
"BA (Hons) Translation, Media and Modern Language (with a year abroad)",UNDERGRADUATE,ENGINEERING,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-translation-media-and-modern-language-with-a-year-abroad
BA (Hons) Translation and Interpreting with Modern Languages,UNDERGRADUATE,ENGINEERING,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-translation-and-interpreting-with-modern-languages
BA (Hons) Sociology with a Year Abroad,UNDERGRADUATE,ENGINEERING,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-sociology-with-a-year-abroad
BA (Hons) Sociology,UNDERGRADUATE,ENGINEERING,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-sociology
"BA (Hons) Society, Culture and Media with a Placement Year",UNDERGRADUATE,ENGINEERING,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-society-culture-and-media-with-a-placement-year
"BA (Hons) Society, Culture and Media",UNDERGRADUATE,ENGINEERING,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-society-culture-and-media
BA (Hons) Social Work,UNDERGRADUATE,ENGINEERING,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-social-work
BA (Hons) Politics with a Placement Year,UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-politics-with-a-placement-year
BA (Hons) Politics (with a Foundation Year),UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-politics-with-a-foundation-year
BA (Hons) Politics,UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-politics
BA (Hons) Philosophy with a Placement Year,UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-philosophy-with-a-placement-year
BA (Hons) Philosophy (with a Foundation Year),UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-philosophy-with-a-foundation-year
"BA (Hons) Philosophy, Politics and Economics with a Year Abroad",UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-philosophy-politics-and-economics-with-a-year-abroad
"BA (Hons) Philosophy, Politics and Economics with a Placement Year",UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-philosophy-politics-and-economics-with-a-placement-year
"BA (Hons) Philosophy, Politics and Economics",UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-philosophy-politics-and-economics
BA (Hons) Philosophy and Politics with a Placement Year,UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-philosophy-and-politics-with-a-placement-year
BA (Hons) Philosophy and Politics,UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-philosophy-and-politics
BA (Hons) Philosophy,UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-philosophy
BA (Hons) Modern Languages with Management Studies,UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-modern-languages-with-management-studies
BA (Hons) Modern Languages,UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-modern-languages
BA (Hons) Modern Language with Management Studies,UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-modern-language-with-management-studies
BA (Hons) Modern Language,UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-modern-language
BA (Hons) Modern History with a Placement Year,UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-modern-history-with-a-placement-year
BA (Hons) Modern History,UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-modern-history
BA (Hons) Media Studies,UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-media-studies
BA (Hons) Media and International Development with Overseas Placement,UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-media-and-international-development-with-overseas-placement
BA (Hons) Media and International Development with International Year One,UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-media-and-international-development-with-international-year-one
BA (Hons) Marketing and Management with a Year in Industry,UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-marketing-and-management-with-a-year-in-industry
BA (Hons) Marketing and Management with a Year Abroad,UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-marketing-and-management-with-a-year-abroad
BA (Hons) Marketing and Management (Final Year Entry),UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-marketing-and-management-final-year-entry
BA (Hons) Marketing and Management,UNDERGRADUATE,"POLITICS, PHILOSOPHY LANGUAGE AND COMMUNICATION STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-marketing-and-management
BA (Hons) Literature and History with a Placement Year,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-literature-and-history-with-a-placement-year
BA (Hons) Literature and History,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-literature-and-history
BA (Hons) Liberal Arts with a Year Abroad,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-liberal-arts-with-a-year-abroad
BA (Hons) Liberal Arts with a Placement Year,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-liberal-arts-with-a-placement-year
BA (Hons) Liberal Arts,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-liberal-arts
BA (Hons) International Relations with a Placement Year,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-international-relations-with-a-placement-year
BA (Hons) International Relations and Politics with a Placement Year,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-international-relations-and-politics-with-a-placement-year
BA (Hons) International Relations and Politics,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-international-relations-and-politics
BA (Hons) International Relations and Modern Language,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-international-relations-and-modern-language
BA (Hons) International Relations and Modern History with a Placement Year,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-international-relations-and-modern-history-with-a-placement-year
BA (Hons) International Relations and Modern History,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-international-relations-and-modern-history
BA (Hons) International Relations,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-international-relations
BA (Hons) International Development with Politics with Overseas Placement,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-international-development-with-politics-with-overseas-placement
BA (Hons) International Development with Overseas Placement,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-international-development-with-overseas-placement
BA (Hons) International Development with Economics with Overseas Placement,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-international-development-with-economics-with-overseas-placement
BA (Hons) International Development with Anthropology with Overseas Placement,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-international-development-with-anthropology-with-overseas-placement
BA (Hons) International Business Management with a Year in Industry,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-international-business-management-with-a-year-in-industry
BA (Hons) International Business Management with a Year Abroad,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-international-business-management-with-a-year-abroad
BA (Hons) International Business Management (Final Year Entry),UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-international-business-management-final-year-entry
BA (Hons) International Business Management,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-international-business-management
BA (Hons) History with a Placement Year,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-history-with-a-placement-year
BA (Hons) History (with a Foundation Year),UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-history-with-a-foundation-year
BA (Hons) History of Art with Gallery and Museum Studies with a Placement Year,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-history-of-art-with-gallery-and-museum-studies-with-a-placement-year
BA (Hons) History of Art with Gallery and Museum Studies,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-history-of-art-with-gallery-and-museum-studies
BA (Hons) History of Art with a Year Abroad,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-history-of-art-with-a-year-abroad
BA (Hons) History of Art with a Placement Year,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-history-of-art-with-a-placement-year
BA (Hons) History of Art (with a Foundation Year),UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-history-of-art-with-a-foundation-year
BA (Hons) History of Art and Literature,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-history-of-art-and-literature
BA (Hons) History of Art,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-history-of-art
BA (Hons) History and Politics with a Placement Year,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-history-and-politics-with-a-placement-year
BA (Hons) History and Politics,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-history-and-politics
BA (Hons) History and History of Art,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-history-and-history-of-art
BA (Hons) History and Film Studies with a Placement Year,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-history-and-film-studies-with-a-placement-year
BA (Hons) History and Film Studies,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-history-and-film-studies
BA (Hons) History,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-history
BA (Hons) Global Development with Politics with a Year Abroad,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-politics-with-a-year-abroad
BA (Hons) Global Development with Politics with a Placement Year,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-politics-with-a-placement-year
BA (Hons) Global Development with Politics,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-politics
BA (Hons) Global Development with Media with a Year Abroad,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-media-with-a-year-abroad
BA (Hons) Global Development with Media with a Placement Year,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-media-with-a-placement-year
BA (Hons) Global Development with Media,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-media
BA (Hons) Global Development with Economics with a Year Abroad,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-economics-with-a-year-abroad
BA (Hons) Global Development with Economics with a Placement Year,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-economics-with-a-placement-year
BA (Hons) Global Development with Economics,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-economics
BA (Hons) Global Development with Anthropology with a Year Abroad,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-anthropology-with-a-year-abroad
BA (Hons) Global Development with Anthropology with a Placement Year,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-anthropology-with-a-placement-year
BA (Hons) Global Development with Anthropology,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-anthropology
BA (Hons) Global Development with a Year Abroad,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-a-year-abroad
BA (Hons) Global Development with a Placement Year,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-a-placement-year
BA (Hons) Global Development with a Foundation Year,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-global-development-with-a-foundation-year
BA (Hons) Global Development,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-global-development
BA (Hons) Global Communication with Business Management (with a Foundation Year),UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-global-communication-with-business-management-with-a-foundation-year
BA (Hons) Global Communication with Business Management,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-global-communication-with-business-management
BA (Hons) Geography with Global Development with a Year Abroad,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-geography-with-global-development-with-a-year-abroad
BA (Hons) Geography with Global Development with a Placement Year,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-geography-with-global-development-with-a-placement-year
BA (Hons) Geography with Global Development with a Foundation Year,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-geography-with-global-development-with-a-foundation-year
BA (Hons) Geography with Global Development,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-geography-with-global-development
BA (Hons) Geography and International Development with Overseas Placement,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-geography-and-international-development-with-overseas-placement
BA (Hons) Geography,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-geography
BA (Hons) Film Studies and English Literature with a Placement Year,UNDERGRADUATE,GLOBAL DEVELOPMENT,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-film-studies-and-english-literature-with-a-placement-year
BA (Hons) Film Studies and English Literature,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-film-studies-and-english-literature
BA (Hons) Film and Television Studies (with a Foundation Year),UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-film-and-television-studies-with-a-foundation-year
BA (Hons) Film and Television Production with a Placement Year,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-film-and-television-production-with-a-placement-year
BA (Hons) Film and Television Production,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-film-and-television-production
BA (Hons) English Literature with Creative Writing with a Placement Year,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-english-literature-with-creative-writing-with-a-placement-year
