Course_Title,Degree_Level,Degree_Type,Attendance_Mode,Start Date,Course_Link
INTERNATIONAL SECURITY AND GLOBAL GOVERNANCE,Postgraduate level,MSc,"Full-time, Part-time, On campus, Flexible learning, Online",January 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Finternational-security-and-global-governance&auth=4dkMkkhNK2WETaqKCl%2F%2BRQ&profile=_default&rank=227&query=_
MANAGEMENT WITH INTERNATIONAL BUSINESS,Postgraduate level,MSc,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fmanagement%2Fmanagement-with-international-business&auth=kcRNA6a%2BvLxow0LkwlGIww&profile=_default&rank=228&query=_
MANAGEMENT WITH SPORT MANAGEMENT,Postgraduate level,MSc,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fmanagement%2Fmanagement-with-sport-management&auth=0%2F1Be4PnQP0e50I6qRvDFg&profile=_default&rank=229&query=_
MANAGEMENT WITH BUSINESS INNOVATION,Postgraduate level,MSc,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fmanagement%2Fmanagement-with-business-innovation&auth=hRhnTKTL728Xllf3ENbQ8g&profile=_default&rank=230&query=_
MANAGEMENT CONSULTANCY AND ORGANISATIONAL CHANGE,Postgraduate level,MSc,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fmanagement-consultancy-and-organisational-change&auth=jINtLUOw%2BGtqsQsJMEHxbw&profile=_default&rank=231&query=_
MODERN LANGUAGES AND COMPARATIVE LITERATURES,Postgraduate level,"MA, MRes","Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fmodern-languages-and-comparative-literatures&auth=TbdLvrwpAwVySLNNusrLbQ&profile=_default&rank=232&query=_
QUANTITATIVE FINANCE WITH DATA SCIENCE,Postgraduate level,MSc,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fquantitative-finance-with-data-science&auth=DK7CZBtU5S9aKLJZ1jcmjA&profile=_default&rank=233&query=_
SOCIAL RESEARCH AND APPLIED LINGUISTICS,Postgraduate level,MRes,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fsocial-research-and-applied-linguistics&auth=ghuVvRkmUiYLxOyy1lnbCA&profile=_default&rank=234&query=_
SOCIAL RESEARCH AND PSYCHOSOCIAL STUDIES,Postgraduate level,MRes,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fsocial-research-and-psychosocial-studies&auth=Lgbc5mT9TCdG8AcT3DyHfw&profile=_default&rank=235&query=_
CLASSICAL ARCHAEOLOGY AND ANCIENT HISTORY,MPhil/PhD level,MPhil/PhD,"Full-time, Part-time, On campus",October 2023,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fphd%2Fclassical-archaeology-and-ancient-history&auth=LDghEyjXywo9JyRtYTSFiA&profile=_default&rank=236&query=_
COMPUTER SCIENCE AND INFORMATION SYSTEMS,MPhil/PhD level,MPhil/PhD,"Full-time, Part-time, On campus",October 2023,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fphd%2Fcomputer-science-and-information-systems&auth=iILYoBYJR%2FBXYn7yq6SGVQ&profile=_default&rank=237&query=_
"GEOGRAPHY, ENVIRONMENT AND DEVELOPMENT STUDIES",MPhil/PhD level,MPhil/PhD,"Full-time, Part-time, On campus, Online",October 2023,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fphd%2Fgeography-environment-and-development-studies&auth=bn03MOkef7sdC1XxJ7VKAQ&profile=_default&rank=238&query=_
IBERIAN AND LATIN AMERICAN STUDIES,MPhil/PhD level,MPhil/PhD,"Full-time, Part-time, On campus",October 2023,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fphd%2Fiberian-and-latin-american-studies&auth=XVwZWlNM3gQjCQ405c2wzw&profile=_default&rank=239&query=_
PROFESSIONAL PRACTICE IN OCCUPATIONAL PSYCHOLOGY,MPhil/PhD level,MRes/Professional Doctorate,"Part-time, On campus",January 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fphd%2Fprofessional-practice-in-occupational-psychology&auth=7KGcRnqvzXWvt54K%2BZApJQ&profile=_default&rank=240&query=_
ART HISTORY WITH CURATING,Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fart-history%2Fart-history-with-curating&auth=EBlIgAbADZKAAfxv3lwaDA&profile=_default&rank=241&query=_
BUSINESS AND HUMAN RESOURCE MANAGEMENT,Undergraduate level,BSc (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fbusiness%2Fbusiness-and-human-resource-management&auth=0whIHgvmsmlI58All%2BxhTw&profile=_default&rank=242&query=_
HEALTH AND SOCIAL CARE AND MANAGEMENT,Undergraduate level,BSc (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fhealth-and-social-care-and-management&auth=buFVUZ9P5k9VXY%2BHLeSPFg&profile=_default&rank=243&query=_
PLANETARY EXPLORATION WITH ASTRONOMY AND ASTROBIOLOGY,Undergraduate level,BSc (Hons),"Full-time, Part-time, On campus, Online",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fplanetary-exploration-with-astronomy-and-astrobiology&auth=FAa8IpdGHffvNj1P2wJImw&profile=_default&rank=244&query=_
GLOBAL POLITICS AND INTERNATIONAL RELATIONS,Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fpolitics%2Fglobal-politics-and-international-relations&auth=v5PpCpw5sw0b7xhFLEC3Fw&profile=_default&rank=245&query=_
PSYCHODYNAMIC COUNSELLING (CERTIFICATE IN HIGHER EDUCATION),Undergraduate level,CertHE,"Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fpsychodynamic-counselling-certificate-in-higher-education&auth=GiiDaGXidhC2hsv%2FS3lD6Q&profile=_default&rank=246&query=_
THEATRE AND ENGLISH,Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Ftheatre-and-performance%2Ftheatre-and-english&auth=lT82l7hov%2FBIo6cJEXeNzw&profile=_default&rank=247&query=_
WRITING AND PERFORMANCE,Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Ftheatre-and-performance%2Fwriting-and-performance&auth=oUajouFk%2Ft28VKAe8%2BuBtw&profile=_default&rank=248&query=_
ARCHAEOLOGICAL PRACTICE (ECONOMIC AND SOCIAL RESEARCH),Postgraduate level,MSc,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Farchaeological-practice-economic-and-social-research&auth=hzBQsrTNcjZyg78oWesVAQ&profile=_default&rank=249&query=_
"GLOBAL HISTORY: EMPIRES, STATES AND CULTURES",Postgraduate level,MA,"Full-time, Part-time, On campus",January 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fglobal-history-empires-states-and-cultures&auth=1G8NQed7TKB1BwU0d%2BdusA&profile=_default&rank=250&query=_
GLOBAL POLITICS OF ENVIRONMENT AND RESOURCES,Postgraduate level,MSc,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fglobal-politics-of-environment-and-resources&auth=WUSPW3fF%2BMfQIAB4L9o%2FgQ&profile=_default&rank=251&query=_
HISTORICAL RESEARCH (ECONOMIC AND SOCIAL HISTORY),Postgraduate level,MSc,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fhistorical-research-economic-and-social-history&auth=ycrvYH8NAX16Ih8AngIOdg&profile=_default&rank=252&query=_
LAW WITH COMMERCIAL LAW,Postgraduate level,LLM,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Flaw-general%2Flaw-with-commercial-law&auth=W0LRuCxJpviOrcoONZMGNw&profile=_default&rank=253&query=_
LAW WITH HUMAN RIGHTS,Postgraduate level,LLM,"Full-time, Part-time, On campus",January 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Flaw-general%2Flaw-with-human-rights&auth=pVyDUOm0ahR4wFGHKMP15A&profile=_default&rank=254&query=_
MATHEMATICS BY DISTANCE LEARNING (GRADUATE CERTIFICATE),Postgraduate level,Graduate Certificate,"Part-time, Online",January 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fmathematics-by-distance-learning-graduate-certificate&auth=puSlBZI1%2BuF9xvEIQfV5VQ&profile=_default&rank=255&query=_
"MEDICAL HUMANITIES: BODIES, CULTURES AND IDEAS",Postgraduate level,MA,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fmedical-humanities-bodies-cultures-and-ideas&auth=udWxpwl74Z1fw8T9iMnP3g&profile=_default&rank=256&query=_
MUSEUM CULTURES WITH CURATING,Postgraduate level,MA,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fmuseum-cultures%2Fmuseum-cultures-with-curating&auth=ki044k5GhYLnqscFnJV4HA&profile=_default&rank=257&query=_
SOCIAL RESEARCH AND GENDER AND SEXUALITY,Postgraduate level,MRes,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fsocial-research-and-gender-and-sexuality&auth=w9HFHBWvqlbujBMThGPcRg&profile=_default&rank=258&query=_
SPORT MANAGEMENT AND MARKETING,Postgraduate level,MSc,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fsport-management%2Fsport-management-and-marketing&auth=NGzqlV9%2BeExSFDt1j5ha0g&profile=_default&rank=259&query=_
