Course_Title,Degree_Level,Degree_Type,Attendance_Mode,Start Date,Course_Link
SPANISH AND LATIN AMERICAN STUDIES (GRADUATE DIPLOMA),Postgraduate level,Graduate Diploma,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fspanish-and-latin-american-studies-graduate-diploma&auth=8%2FbPjWxDAvHKRdA3pkjvzg&profile=_default&rank=275&query=_
FILM AND MEDIA WITH SCREENWRITING,Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Ffilm-and-media%2Ffilm-and-media-with-screenwriting&auth=HNHgyoIfNPDF2YtCLEmdjg&profile=_default&rank=276&query=_
"LINGUISTICS AND LANGUAGE (FRENCH, GERMAN, ITALIAN, JAPANESE, SPANISH)",Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year, With or without International Experience",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Flinguistics-and-language-french-german-italian-japanese-spanish&auth=i3NNCKs1%2F%2BgUgyukMA2m8g&profile=_default&rank=277&query=_
PLANETARY SCIENCE WITH ASTRONOMY (CERTIFICATE IN HIGHER EDUCATION),Undergraduate level,CertHE,"Part-time, On campus, Online",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fplanetary-science-with-astronomy-certificate-in-higher-education&auth=mz44tPL08uLVlOf8VZXn1Q&profile=_default&rank=278&query=_
FOUNDATION FOR COUNSELLING AND PSYCHOTHERAPY TRAINING (GRADUATE CERTIFICATE),Postgraduate level,Graduate Certificate,"Part-time, On campus",January 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Ffoundation-for-counselling-and-psychotherapy-training-graduate-certificate&auth=PlMH88GWQzHK9Xqhx2G%2BUQ&profile=_default&rank=279&query=_
HISTORY OF ART WITH CURATING,Postgraduate level,MA,"Full-time, Part-time, On campus, Flexible learning, Online",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fhistory-of-art%2Fhistory-of-art-with-curating&auth=Ff6EYA7Aybm0v%2FgNYfWw3Q&profile=_default&rank=280&query=_
HISTORY OF PHOTOGRAPHY WITH CURATING,Postgraduate level,MA,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fhistory-of-photography%2Fhistory-of-photography-with-curating&auth=3zCWuewUPTIptHiKZzNuAw&profile=_default&rank=281&query=_
LAW WITH LAW AND POLITICAL ECONOMY,Postgraduate level,LLM,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Flaw-general%2Flaw-with-law-and-political-economy&auth=D%2BW78LK1mxtkRSBHfCfc9g&profile=_default&rank=282&query=_
LAW WITH LAW AND NEW TECHNOLOGIES,Postgraduate level,LLM,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Flaw-general%2Flaw-with-law-and-new-technologies&auth=R%2BVM8OPrU2%2Fldq6PfibtJQ&profile=_default&rank=283&query=_
LAW WITH INTERNATIONAL LAW AND DEVELOPMENT,Postgraduate level,LLM,"Full-time, Part-time, On campus",January 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Flaw-general%2Flaw-with-international-law-and-development&auth=IJinLXTM89hctiw%2FXQPwsQ&profile=_default&rank=284&query=_
PSYCHODYNAMIC COUNSELLING AND PSYCHOTHERAPY WITH CHILDREN AND ADOLESCENTS,Postgraduate level,MSc,"Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fpsychodynamic-counselling-and-psychotherapy-with-children-and-adolescents&auth=NWygOTfWhJxCWdx5zYhIUg&profile=_default&rank=285&query=_
"DIGITAL MEDIA AND LANGUAGE (FRENCH, GERMAN, ITALIAN, JAPANESE, SPANISH)",Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fdigital-media-and-language-french-german-italian-japanese-spanish&auth=I%2FXRc3VjvvBWJnjZ3MwPzg&profile=_default&rank=286&query=_
"ENGLISH AND LANGUAGE (FRENCH, GERMAN, ITALIAN, JAPANESE, SPANISH)",Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fenglish%2Fenglish-and-language-french-german-italian-japanese-spanish&auth=S9ynDhK67IoL6iUeTqffUQ&profile=_default&rank=287&query=_
"POLITICS AND LANGUAGE (FRENCH, GERMAN, ITALIAN, JAPANESE, SPANISH)",Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fpolitics%2Fpolitics-and-language-french-german-italian-japanese-spanish&auth=eHDCH57I9CTzDd94kkdIqA&profile=_default&rank=288&query=_
PSYCHOSOCIAL STUDIES WITH PRINCIPLES OF PSYCHODYNAMIC COUNSELLING,Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fpsychosocial-studies%2Fpsychosocial-studies-with-principles-of-psychodynamic-counselling&auth=a9VKHxZSUNkAOSf7yCRqPw&profile=_default&rank=289&query=_
HISTORY OF ART WITH COLLECTIONS MANAGEMENT,Postgraduate level,MA,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fhistory-of-art%2Fhistory-of-art-with-collections-management&auth=HCcFxq%2FYXq0yJ1MFzRuYkg&profile=_default&rank=290&query=_
"LAW WITH ENVIRONMENTAL LAW, GOVERNANCE AND POLICY",Postgraduate level,LLM,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Flaw-general%2Flaw-with-environmental-law-governance-and-policy&auth=mfftiiE4U9cgYW%2FqfBLhLg&profile=_default&rank=291&query=_
"LAW WITH CONSTITUTIONAL POLITICS, LAW AND THEORY",Postgraduate level,LLM,"Full-time, Part-time, On campus",January 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Flaw-general%2Flaw-with-constitutional-politics-law-and-theory&auth=qGPY8%2FJjIn2rzF7ebhALlA&profile=_default&rank=292&query=_
SPORT MANAGEMENT AND THE BUSINESS OF FOOTBALL,Postgraduate level,MSc,"Full-time, Part-time, On campus",January 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fsport-management%2Fsport-management-and-the-business-of-football&auth=nZcUJHtxX%2BrXpxm6bY9ykg&profile=_default&rank=293&query=_
"GLOBAL POLITICS AND LANGUAGE (FRENCH, GERMAN, ITALIAN, JAPANESE, SPANISH)",Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fpolitics%2Fglobal-politics-and-language-french-german-italian-japanese-spanish&auth=z99Tc5xVMOhdPDNVlonxnA&profile=_default&rank=294&query=_
FILM AND SCREEN MEDIA (WITH TELEVISION),Postgraduate level,MA,"Full-time, Part-time, On campus",January 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Ffilm-and-screen-media%2Ffilm-and-screen-media-with-television&auth=SZxgSzPoFPkEmq67UuXEuQ&profile=_default&rank=295&query=_
LANGUAGE TEACHING/TEACHING ENGLISH TO SPEAKERS OF OTHER LANGUAGES (TESOL),Postgraduate level,"MA, PG Cert, PG Dip","Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Flanguage-teaching-teaching-english-to-speakers-of-other-languages-tesol&auth=9LYZ6mh%2FH8Wfpu8uj%2Bt0uA&profile=_default&rank=296&query=_
"ART HISTORY AND LANGUAGE (FRENCH, GERMAN, ITALIAN, JAPANESE, SPANISH)",Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fart-history%2Fart-history-and-language-french-german-italian-japanese-spanish&auth=bxrpBYxf2kf3xTA4TWwB5A&profile=_default&rank=297&query=_
"JOURNALISM AND LANGUAGE (FRENCH, GERMAN, ITALIAN, JAPANESE, SPANISH)",Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fjournalism-and-media%2Fjournalism-and-language-french-german-italian-japanese-spanish&auth=HURXqH5azjK%2FXVXUnTkXtg&profile=_default&rank=298&query=_
LIFE SCIENCES FOR SUBJECTS ALLIED TO MEDICINE,Undergraduate level,CertHE,"Part-time, On campus",January 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Flife-sciences-for-subjects-allied-to-medicine-certificate-in-higher-education&auth=0mpbuJS8nv4YvRswlg8Vqg&profile=_default&rank=299&query=_
ENGLISH AND LINGUISTICS,Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Flinguistics-and-language-french-german-italian-japanese-spanish%2Fenglish-and-linguistics&auth=Q7icnbX24RYsjO%2BCji8M0Q&profile=_default&rank=300&query=_
LINGUISTICS AND CULTURE,Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Flinguistics-and-language-french-german-italian-japanese-spanish%2Flinguistics-and-culture&auth=h%2F4u9G41foBfQtjSlsPAjQ&profile=_default&rank=301&query=_
FILM AND SCREEN MEDIA (WITH STUDY ABROAD),Postgraduate level,MA,"Full-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Ffilm-and-screen-media%2Ffilm-and-screen-media-with-study-abroad&auth=EwpnVVe6iLUNUcJAtd8aLQ&profile=_default&rank=302&query=_
"FILM, MEDIA AND LANGUAGE (FRENCH, GERMAN, ITALIAN, JAPANESE, SPANISH)",Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Ffilm-and-media%2Ffilm-media-and-language-french-german-italian-japanese-spanish&auth=jdeRFSp0mOsJLMIC55PUzQ&profile=_default&rank=303&query=_
"LINGUISTICS AND LANGUAGE (FRENCH, GERMAN, ITALIAN, JAPANESE, SPANISH) (CERTIFICATE OF HIGHER EDUCATION)",Undergraduate level,CertHE,"Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Flinguistics-and-language-french-german-italian-japanese-spanish-certificate-of-higher-education&auth=nhgg%2BdHxiYvCA6cmqj%2BkyQ&profile=_default&rank=304&query=_
"LANGUAGE TEACHING AND LANGUAGES (FRENCH, GERMAN, ITALIAN, JAPANESE, SPANISH)",Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year, With or without International Experience",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Flinguistics-and-language-french-german-italian-japanese-spanish%2Flanguage-teaching-and-languages&auth=uPMxjvdXYohabVZsBGc4IQ&profile=_default&rank=305&query=_
FILM AND SCREEN MEDIA WITH FILM PROGRAMMING AND CURATING,Postgraduate level,MA,"Full-time, Part-time, On campus",January 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Ffilm-and-screen-media%2Ffilm-and-screen-media-with-film-programming-and-curating&auth=3gSYsrnGQcBH8Lj5uWxQ%2Fw&profile=_default&rank=306&query=_
