Course_Title,Degree_Level,Duration,Attendance_Mode,Start_Date,Course_Link
Automotive Systems Engineering MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/automotive-systems-engineering/
Big Data Science and Technology MSc,Postgraduate,1 year,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/big-data-science-and-technology/
Big Data Science and Technology MSc (Part-time),Postgraduate,2 years,Part-time,"January, September",https://www.bradford.ac.uk/courses/pg/big-data-science-and-technology/
Bioinformatics MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/bioinformatics/
Biological and Medicinal Chemistry MChem,Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/chemistry-medicinal-mchem/
Biomedical Engineering BEng (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/biomedical-engineering-beng/?att=ft
Biomedical Engineering MEng,Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/biomedical-engineering-meng/?att=ft
Biomedical Engineering (with placement year) BEng (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/biomedical-engineering-beng/
Biomedical Engineering (with placement year) MEng,Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/biomedical-engineering-meng/
Biomedical Engineering with Integrated Engineering Foundation Year BEng (Hons),Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/biomedical-engineering-with-integrated-foundation/?att=ft
Biomedical Engineering with Integrated Engineering Foundation Year and Placement Year BEng (Hons),Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/biomedical-engineering-with-integrated-foundation/
Biomedical Science BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/biomedical-science-bsc/
Business and Management BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/business-and-management-bsc/?att=ft
Business and Management (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/business-and-management-bsc/
Business Studies and Law BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/business-studies-and-law-bsc/?att=ft
Business Studies and Law (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/business-studies-and-law-bsc/
"Cancer - Understanding Treatment, Management and Care Module (Part-time)",CPD Module,3 months,Part-time,October,https://www.bradford.ac.uk/courses/cpd/cancer-understanding-treatment-management-and-care/
Cancer Drug Discovery MSc,Postgraduate,1 year,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/cancer-drug-discovery/
Cancer Pharmacology MSc,Postgraduate,1 year,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/cancer-pharmacology/
Chemical Engineering BEng (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/chemical-engineering-beng/?att=ft
Chemical Engineering MEng,Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/chemical-engineering-meng/?att=ft
Chemical Engineering (with Integrated Engineering Foundation Year and Placement Year) BEng (Hons),Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/chemical-engineering-with-integrated-foundation/
Chemical Engineering (with Integrated Engineering Foundation Year) BEng (Hons),Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/chemical-engineering-with-integrated-foundation/?att=ft
Chemical Engineering (with placement year) BEng (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/chemical-engineering-beng/
Chemical Engineering (with placement year) MEng,Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/chemical-engineering-meng/
Chemistry BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/chemistry-bsc/?att=ft
Chemistry MChem,Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/chemistry-mchem/
Chemistry (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/chemistry-bsc/
Chemistry Apprenticeship BSc (Hons) (Part-time),Undergraduate,Up to 4 years,Part-time,September,https://www.bradford.ac.uk/courses/apprenticeships/chemistry-apprenticeship/
Civil and Structural Engineering MEng,Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/civil-and-structural-engineering-meng/?att=ft
Civil and Structural Engineering BEng (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/civil-and-structural-engineering-beng/?att=ft
Civil and Structural Engineering (with Integrated Engineering Foundation Year and Placement Year) BEng (Hons),Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/civil-and-structural-engineering-with-integrated-foundation/
Civil and Structural Engineering (with Integrated Engineering Foundation Year) BEng (Hons),Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/civil-and-structural-engineering-with-integrated-foundation/?att=ft
Civil and Structural Engineering (with placement year) BEng (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/civil-and-structural-engineering-beng/
Civil and Structural Engineering (with placement year) MEng,Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/civil-and-structural-engineering-meng/
Clinical Competence in Advanced Practice Module (Part-time),CPD Module,4 months,Part-time,January,https://www.bradford.ac.uk/courses/cpd/clinical-competence-in-advanced-practice/
Clinical Sciences BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/clinical-sciences-bsc/?att=ft
Clinical Sciences (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/clinical-sciences-bsc/
Clinical Technology BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/clinical-technology-bsc/?att=ft
Clinical Technology (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/clinical-technology-bsc/
Computer Science BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/computer-science-bsc/?att=ft
Computer Science (with Integrated Foundation Year and Placement Year) BSc (Hons),Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/computer-science-with-integrated-foundation/
Computer Science (with Integrated Foundation Year) BSc (Hons),Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/computer-science-with-integrated-foundation/?att=ft
Computer Science (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/computer-science-bsc/
Computer Science for Cyber Security BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/computer-science-for-cyber-security-bsc/?att=ft
Computer Science for Cyber Security (with Integrated Foundation Year and Placement Year) BSc (Hons),Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/computer-science-cyber-security-with-integrated-foundation/
Computer Science for Cyber Security (with Integrated Foundation Year) BSc (Hons),Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/computer-science-cyber-security-with-integrated-foundation/?att=ft
Computer Science for Cyber Security (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/computer-science-for-cyber-security-bsc/
Construction and Project Management MSc,Postgraduate,1 year,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/construction-and-project-management/
Construction and Project Management PG Diploma,Postgraduate,1 year,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/construction-and-project-management/
Construction and Project Management PG Certificate,Postgraduate,1 year,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/construction-and-project-management/
Continence for Physiotherapists PG Certificate (Part-time),Postgraduate,Up to 5 years,Part-time,,https://www.bradford.ac.uk/courses/pg/rehabilitation-studies-continence-for-physiotherapists/
Continence for Physiotherapists PG Diploma (Part-time),Postgraduate,Up to 3 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/rehabilitation-studies-continence-for-physiotherapists/
Continence for Physiotherapists PG Certificate (Part-time),Postgraduate,Up to 3 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/rehabilitation-studies-continence-for-physiotherapists/
Continence Practice for Physiotherapists Module (Part-time),CPD Module,4 months,Part-time,June,https://www.bradford.ac.uk/courses/cpd/continence-practice-for-physiotherapists/
Continence Theory for Physiotherapists Module (Part-time),CPD Module,4 months,Part-time,January,https://www.bradford.ac.uk/courses/cpd/continence-theory-for-physiotherapists/
Criminology and Criminal Behaviour BA (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/criminology-criminal-behaviour-ba/
Critical Care CCE / PG Certificate (Part-time),CPD Module,1 year,Part-time,"September, January",https://www.bradford.ac.uk/courses/cpd/critical-care-cce/
Cyber Security MSc,Postgraduate,1 year,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/cyber-security/
Cyber Security MSc (Part-time),Postgraduate,2 years,Part-time,"January, September",https://www.bradford.ac.uk/courses/pg/cyber-security/
Diagnostic Hysteroscopy and Therapeutic Management PG Certificate (Part-time),Postgraduate,Up to 5 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/diagnostic-hysteroscopy-and-therapeutic-management/
Diagnostic Radiography BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/diagnostic-radiography-bsc/
Digital and Strategic Marketing MSc,Postgraduate,September start - 12 months January start - 15 months,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/digital-and-strategic-marketing/
Digital and Strategic Marketing MSc (Part-time),Postgraduate,September start - 24 months January start - 27 months,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/digital-and-strategic-marketing/
Digital Civil Engineering MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/digital-civil-engineering/
Digital Civil Engineering MSc (Part-time),Postgraduate,3 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/digital-civil-engineering/
Doctor of Business Administration (DBA) (Bradford) DBA (Part-time),Postgraduate,4 - 7 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/dba/
Doctor of Business Administration (DBA) (Oman) Doctorate (Part-time),Postgraduate,4 - 7 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/dba-oman/
Doctorate in Medicine MD,Postgraduate,2 years,Full-time,September,https://www.bradford.ac.uk/courses/pg/doctorate-medicine/
Doctorate in Medicine MD (Part-time),Postgraduate,Up to 4 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/doctorate-medicine/
Drug Toxicology and Safety Pharmacology MSc,Postgraduate,1 year,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/drug-toxicology-and-safety-pharmacology/
Economics BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/economics-bsc/?att=ft
Economics (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/economics-bsc/
Economics and Finance for Development MSc,Postgraduate,1 year or 15 months with internship / placement,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/economics-and-finance-for-development/
Economics and Finance for Development MSc (Part-time),Postgraduate,2 years or 27 months with internship / placement,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/economics-and-finance-for-development/
Engineering Foundation Year,Undergraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/ug/engineering-foundation/
Engineering Management MSc,Postgraduate,1 year,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/engineering-management/
Enhanced Clinical Practitioner (Part-time),Postgraduate,1 year,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/enhanced-clinical-practitioner/
Enhanced Maternal Care Module (Part-time),CPD Module,1 year,Part-time,October,https://www.bradford.ac.uk/courses/cpd/enhanced-maternal-care/
Enhanced Paediatric Nursing Skills (EPNS) Module (Part-time),CPD Module,4 months,Part-time,April,https://www.bradford.ac.uk/courses/cpd/enhanced-paediatric-nursing-skills/
Enhanced Practice (Radiography) PG Diploma (Part-time),Postgraduate,Postgraduate Certificate,Part-time,January,https://www.bradford.ac.uk/courses/pg/enhanced-practice-radiography/
Enhanced Practice (Radiography) PG Certificate (Part-time),Postgraduate,Postgraduate Certificate,Part-time,January,https://www.bradford.ac.uk/courses/pg/enhanced-practice-radiography/
Entrepreneurship in Practice MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/entrepreneurship-in-practice/
Entrepreneurship in Practice MSc (Part-time),Postgraduate,2 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/entrepreneurship-in-practice/
European and International Business Management MSc,Postgraduate,13 - 16 months,Full-time,September,https://www.bradford.ac.uk/courses/pg/european-international-business-management/
Evaluating Dementia Practice Module (Part-time),CPD Module,4 months,Part-time,January,https://www.bradford.ac.uk/courses/cpd/evaluating-dementia-practice/
Evidence Based Diabetes Care Module (Part-time),CPD Module,4 months,Part-time,February,https://www.bradford.ac.uk/courses/cpd/evidence-based-diabetes-care/
Evidence-based Dementia Practice Module (Part-time),CPD Module,4 months,Part-time,September,https://www.bradford.ac.uk/courses/cpd/evidence-based-dementia-practice/
Film and Television Production BA (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/film-and-television-production-ba/?att=ft
Film and Television Production (with placement year) BA (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/film-and-television-production-ba/
Film and Visual Effects Technology BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/film-and-visual-effects-technology-bsc/?att=ft
Film and Visual Effects Technology (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/film-and-visual-effects-technology-bsc/
Filmmaking MA,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/filmmaking/
Filmmaking MA (Part-time),Postgraduate,2 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/filmmaking/
Finance and Business Analytics BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/finance-and-business-analytics-bsc/?att=ft
Finance and Business Analytics (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/finance-and-business-analytics-bsc/
Finance and Economics BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/finance-and-economics-bsc/?att=ft
Finance and Economics (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/finance-and-economics-bsc/
Finance and Investment MSc,Postgraduate,September start - 12 months January start - 15 months,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/finance-and-investment/
Finance and Investment MSc (Part-time),Postgraduate,September start - 24 months January start - 27 months,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/finance-and-investment/
"Finance, Accounting and Management MSc",Postgraduate,September start - 12 months January start - 15 months,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/finance-accounting-and-management/
"Finance, Accounting and Management MSc (Part-time)",Postgraduate,September start - 24 months January start - 27 months,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/finance-accounting-and-management/
Financial Technology (FinTech) MSc,Postgraduate,September start - 12 months January start - 15 months,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/financial-technology/
Financial Technology (FinTech) Distance Learning MSc (Part-time),Postgraduate,2 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/financial-technology-distance-learning/
First Contact Physiotherapy Practitioner (Musculoskeletal) PG Certificate (Part-time),Postgraduate,12 months,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/first-contact-physiotherapy/
Forensic and Medical Sciences BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/forensic-and-medical-sciences-bsc/?att=ft
Forensic and Medical Sciences (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/forensic-and-medical-sciences-bsc/
Forensic Archaeology and Anthropology BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/forensic-archaeology-and-anthropology-bsc/?att=ft
Forensic Archaeology and Anthropology (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/forensic-archaeology-and-anthropology-bsc/
Forensic Archaeology and Crime Scene Investigation MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/forensic-archaeology-crime-scene-investigation/
Forensic Archaeology and Crime Scene Investigation MSc (Part-time),Postgraduate,2 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/forensic-archaeology-crime-scene-investigation/
Forensic Science BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/forensic-science-bsc/?att=ft
Forensic Science (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/forensic-science-bsc/
Foundation in Clinical Sciences and Medicine leading to BSc Clinical Sciences (Full-time with Placement) BSc (Hons),Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/foundation-clinical-sciences-medicine/
Foundation in Clinical Sciences and Medicine leading to BSc Clinical Sciences (Full-time) BSc (Hons),Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/foundation-clinical-sciences-medicine/?att=ft
Foundation Pharmacy Practice MSc (Part-time),Postgraduate,3 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/foundation-pharmacy-practice/
Foundation Pharmacy Practice PG Diploma (Part-time),Postgraduate,3 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/foundation-pharmacy-practice/
Foundation Year,Undergraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/ug/foundation-year/
Game Design and Development BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/game-design-and-development-bsc/?att=ft
Game Design and Development (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/game-design-and-development-bsc/
Graphics for Games BA (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/graphics-for-games-ba/?att=ft
Graphics for Games (with placement year) BA (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/graphics-for-games-ba/
"Haematology and BMT: Understanding Treatment, Management and Care Module (Part-time)",Postgraduate,3 months,Part-time,May,https://www.bradford.ac.uk/courses/cpd/haematology-and-bmt/
Health and Social Care Leadership Module (Part-time),CPD Module,4 months,Part-time,September,https://www.bradford.ac.uk/courses/cpd/health-and-social-care-leadership/
Health Promotion in Practice Module (Part-time),CPD Module,4 months,Part-time,October,https://www.bradford.ac.uk/courses/cpd/health-promotion-in-practice/
Healthcare Science (Life Sciences) BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/healthcare-science-life-sciences-bsc/
Healthcare Science Apprenticeship BSc (Hons) (Part-time),Undergraduate,5 years,Part-time,September,https://www.bradford.ac.uk/courses/apprenticeships/healthcare-science-apprenticeship/
Heritage and Archaeology BA (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/heritage-and-archaeology-ba/?att=ft
Heritage and Archaeology (with placement year) BA (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/heritage-and-archaeology-ba/
Human Osteology and Palaeopathology MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/human-osteology-and-palaeopathology/
Human Osteology and Palaeopathology MSc (Part-time),Postgraduate,2 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/human-osteology-and-palaeopathology/
Human Resource Management (CIPD Accreditation) MSc,Postgraduate,September start - 12 months January start - 15 months,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/human-resource-management/
Human Resource Management (CIPD Accreditation) MSc (Part-time),Postgraduate,September start - 24 months January start - 27 months,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/human-resource-management/
"Innovation, Enterprise and Circular Economy MBA (Part-time)",Postgraduate,2 - 3 years,Part-time,"January, April, July, September",https://www.bradford.ac.uk/courses/pg/innovation-enterprise-and-circular-economy/
"Innovation, Enterprise and Circular Economy PG Certificate (Part-time)",Postgraduate,12 - 18 months,Part-time,July,https://www.bradford.ac.uk/courses/pg/innovation-enterprise-and-circular-economy-pgcert/
International Accounting and Finance MSc,Postgraduate,September start - 12 months January start - 15 months,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-accounting-and-finance/
International Accounting and Finance MSc (Part-time),Postgraduate,September start - 24 months January start - 27 months,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-accounting-and-finance/
International Banking and Financial Technology Law LLM,Postgraduate,12-15 months (full-time),Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-banking-and-financial-technology-law/
International Banking and Financial Technology Law LLM (Part-time),Postgraduate,2 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-banking-and-financial-technology-law/
International Banking and Financial Technology Law (Distance Learning) LLM (Part-time),Postgraduate,24-48 months (part-time),Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-banking-and-financial-technology-law-distance-learning/
International Banking and Financial Technology Law (Distance Learning) LLM,Postgraduate,12-15 months,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-banking-and-financial-technology-law-distance-learning/
International Business and Management BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/international-business-and-management-bsc/?att=ft
International Business and Management MSc,Postgraduate,September start - 12 months January start - 15 months,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-business-and-management/
International Business and Management MSc (Part-time),Postgraduate,September start - 24 months January start - 27 months,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-business-and-management/
International Business and Management (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/international-business-and-management-bsc/
International Commercial Law LLM,Postgraduate,"15 months Jan start, 1 year Sept start",Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-commercial-law/
International Commercial Law LLM (Part-time),Postgraduate,"27 months January start, 2 years September Start",Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-commercial-law/
International Commercial Law (Distance Learning) LLM,Postgraduate,September start - 12 months / January start,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-commercial-law-distance-learning/
International Commercial Law (Distance Learning) LLM (Part-time),Postgraduate,2-4 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-commercial-law-distance-learning/
International Corporate Law and Governance LLM,Postgraduate,12-15 months,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-corporate-law-and-governance/
International Corporate Law and Governance LLM (Part-time),Postgraduate,2 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-corporate-law-and-governance/
International Corporate Law and Governance (Distance Learning) LLM,Postgraduate,12-15 months,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-corporate-law-and-governance-distance-learning/
International Corporate Law and Governance (Distance Learning) LLM (Part-time),Postgraduate,2 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-corporate-law-and-governance-distance-learning/
International Development Management MA,Postgraduate,Sept - 12 months (15 with placement) / Jan - 15 months (18 with placement),Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-development-management/
International Development Management MA (Part-time),Postgraduate,September start - 24 months / January start - 27 months,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-development-management/
International Human Rights Law and Development LLM,Postgraduate,"15 months Jan start, 1 year Sept start",Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-human-rights-and-development/
International Human Rights Law and Development LLM (Part-time),Postgraduate,"27 months January start, 2 years September start",Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-human-rights-and-development/
International Human Rights Law and Development (Distance Learning) LLM,Postgraduate,Sept start - 12 months / January start,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-human-rights-and-development-distance-learning/
International Human Rights Law and Development (Distance Learning) LLM (Part-time),Postgraduate,2-4 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-human-rights-and-development-distance-learning/
International Legal Studies LLM,Postgraduate,"15 months Jan start, 1 year Sept start",Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-legal-studies/
International Legal Studies LLM (Part-time),Postgraduate,September start - 2 years January start - 27 months,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-legal-studies/
International Legal Studies (Distance Learning) LLM,Postgraduate,"16 months Jan start, 1 year Sept start",Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-legal-studies-distance-learning/
International Legal Studies (Distance Learning) LLM (Part-time),Postgraduate,2 - 4 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-legal-studies-distance-learning/
International Nursing Studies MSc,Postgraduate,1 year,Full-time,January,https://www.bradford.ac.uk/courses/pg/nursing-studies-international/
International Nursing Studies MSc (Part-time),Postgraduate,2 years,Part-time,January,https://www.bradford.ac.uk/courses/pg/nursing-studies-international/
International Nursing Studies PG Diploma,Postgraduate,1 year,Full-time,January,https://www.bradford.ac.uk/courses/pg/nursing-studies-international/
International Nursing Studies PG Diploma (Part-time),Postgraduate,2 years,Part-time,January,https://www.bradford.ac.uk/courses/pg/nursing-studies-international/
International Nursing Studies PG Certificate,Postgraduate,1 year,Full-time,January,https://www.bradford.ac.uk/courses/pg/nursing-studies-international/
International Nursing Studies PG Certificate (Part-time),Postgraduate,2 years,Part-time,January,https://www.bradford.ac.uk/courses/pg/nursing-studies-international/
International Relations and Security Studies MA,Postgraduate,Sept - 12 months (15 with placement) / Jan - 15 months (18 with placement),Full-time,September. January,https://www.bradford.ac.uk/courses/pg/international-relations-and-security-studies/
International Relations and Security Studies MA (Part-time),Postgraduate,2 years or 4 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/international-relations-and-security-studies/
"International Relations, Politics and Security Studies BA (Hons)",Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/international-relations-politics-security-ba/
Law LLB,Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/law-llb/?att=ft
Law (with placement year) LLB,Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/law-llb/
Law with Business and Management LLB,Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/law-with-business-and-management-llb/?att=ft
Law with Business and Management (with placement year) LLB,Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/law-with-business-and-management-llb/
Leadership for Advanced Practitioners Module (Part-time),CPD Module,3 months,Part-time,"February, October",https://www.bradford.ac.uk/courses/cpd/leadership-for-advanced-practitioners/
Leadership in Health & Social Care MSc (Part-time),Postgraduate,3 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/leadership-in-health-and-social-care/
Leadership in Health & Social Care PG Diploma (Part-time),Postgraduate,3 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/leadership-in-health-and-social-care/
Leadership in Health & Social Care PG Certificate (Part-time),Postgraduate,3 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/leadership-in-health-and-social-care/
Leadership in Health & Social Care (International) MSc,Postgraduate,1 year,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/leadership-health-social-care-international/
