Course_Title,Degree_Level,Duration,Attendance_Mode,Start_Date,Course_Link
PhD (Faculty of Health Studies) Doctorate (Part-time),Postgraduate,6-7 years,Part-time,"October, February, June",https://www.bradford.ac.uk/courses/pg/phd-health-studies/
PhD (School of Archaeological and Forensic Sciences) Doctorate,Postgraduate,3-4 years,Full-time,"October, February, June",https://www.bradford.ac.uk/courses/pg/phd-arch-sci/
PhD (School of Chemistry and Biosciences) Doctorate,Postgraduate,3-4 years,Full-time,"October, February, June",https://www.bradford.ac.uk/courses/pg/phd-chemistry-biosciences/
PhD (School of Law) Doctorate,Postgraduate,3-4 years,Full-time,"February, June, October",https://www.bradford.ac.uk/courses/pg/phd-law/
PhD (School of Law) Doctorate (Part-time),Postgraduate,6-7 years,Part-time,"February, June, October",https://www.bradford.ac.uk/courses/pg/phd-law/
PhD (School of Management) Doctorate,Postgraduate,3-4 years,Full-time,"February, June, October",https://www.bradford.ac.uk/courses/pg/phd-management/
PhD (School of Management) Doctorate (Part-time),Postgraduate,6-7 years,Part-time,"February, June, October",https://www.bradford.ac.uk/courses/pg/phd-management/
PhD (School of Optometry and Vision Science) Doctorate,Postgraduate,3-4 years,Full-time,"February, October",https://www.bradford.ac.uk/courses/pg/phd-optometry/
PhD (School of Pharmacy and Medical Sciences) Doctorate,Postgraduate,3-4 years,Full-time,"February, June, October",https://www.bradford.ac.uk/courses/pg/phd-pharmacy-medical-sciences/
PhD (School of Social Sciences) Doctorate,Postgraduate,3-4 years,Full-time,"February, June, October",https://www.bradford.ac.uk/courses/pg/phd-social-sciences/
Physiology and Molecular Biology MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/physiology-and-molecular-biology/
Physiotherapy BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/physiotherapy-bsc/
Physiotherapy Management of Peripheral Joint Dysfunction - Lower Limb Module (Part-time),CPD Module,4 months,Part-time,February,https://www.bradford.ac.uk/courses/cpd/physiotherapy-management-peripheral-joint-dysfunction-lower-limb/
Physiotherapy Management of Peripheral Joint Dysfunction - Upper Limb Module (Part-time),CPD Module,4 months,Part-time,"September, February",https://www.bradford.ac.uk/courses/cpd/physiotherapy-management-peripheral-joint-dysfunction-upper-limb/
Physiotherapy Management of Spinal Dysfunction Module (Part-time),CPD Module,4 months,Part-time,March,https://www.bradford.ac.uk/courses/cpd/physiotherapy-management-spinal-dysfunction/
Postdiagnostic Support and Living Well with Dementia Module (Part-time),CPD Module,4 months,Part-time,February,https://www.bradford.ac.uk/courses/cpd/postdiagnostic-support-and-living-well-with-dementia/
Practice of Physiotherapy in Womens Health Module (Part-time),CPD Module,4 months,Part-time,June,https://www.bradford.ac.uk/courses/cpd/practice-of-physiotherapy-womens-health/
Practitioners with Advanced or Extended Roles in Dementia PG Certificate (Part-time),Postgraduate,1 year,Part-time,September,https://www.bradford.ac.uk/courses/pg/practitioners-advanced-extended-roles-dementia/
Practitioners with Special Interest - Cardiology PG Diploma (Part-time),Postgraduate,18-16 months,Part-time,September,https://www.bradford.ac.uk/courses/pg/practitioners-with-special-interest-cardiology/
Practitioners with Special Interest - Cardiology MSc (Part-time),Postgraduate,18-16 months,Part-time,September,https://www.bradford.ac.uk/courses/pg/practitioners-with-special-interest-cardiology/
Practitioners with Special Interest - Diabetes PG Diploma (Part-time),Postgraduate,18-60 months,Part-time,"April, November",https://www.bradford.ac.uk/courses/pg/practitioners-with-special-interest-diabetes/
Practitioners with Special Interest - Diabetes MSc (Part-time),Postgraduate,18-16 months,Part-time,"April, November",https://www.bradford.ac.uk/courses/pg/practitioners-with-special-interest-diabetes/
Practitioners with Special Interest - Gynaecology PG Diploma (Part-time),Postgraduate,18-60 months,Part-time,"January, July",https://www.bradford.ac.uk/courses/pg/practitioners-with-special-interest-gynaecology/
Practitioners with Special Interest - Gynaecology MSc (Part-time),Postgraduate,18-60 months,Part-time,"January, July",https://www.bradford.ac.uk/courses/pg/practitioners-with-special-interest-gynaecology/
Practitioners with Special Interest - Musculoskeletal Medicine with Rheumatology PG Diploma (Part-time),Postgraduate,18 - 60 months,Part-time,"September, March",https://www.bradford.ac.uk/courses/pg/pwsi-musculoskeletal-medicine-with-rheumatology/
Practitioners with Special Interest - Musculoskeletal Medicine with Rheumatology MSc (Part-time),Postgraduate,18-60 months,Part-time,"September, March",https://www.bradford.ac.uk/courses/pg/pwsi-musculoskeletal-medicine-with-rheumatology/
Pre-sessional English Language Programme (PREP),Undergraduate,"20, 10 or 6 weeks",Full-time,"April, June, July",https://www.bradford.ac.uk/courses/other/pre-sessional-english-language-programme/
Prescribing for Healthcare Professionals Module (Part-time),CPD Module,5 months,Part-time,"September, January",https://www.bradford.ac.uk/courses/cpd/prescribing-for-healthcare-professionals/
