Course_Title,Degree_Type,Duration,Course_Link
Textile Design,BA,3 years,https://www.southampton.ac.uk/courses/textile-design-degree-ba
Zoology,BSc,3 years,https://www.southampton.ac.uk/courses/zoology-degree-bsc
Zoology,MSci,4 years,https://www.southampton.ac.uk/courses/zoology-degree-msci
Accounting and Finance,MSc,1 year,https://www.southampton.ac.uk/courses/accounting-finance-masters-msc
Accounting and Management,MSc,1 year,https://www.southampton.ac.uk/courses/accounting-management-masters-msc
Acoustical and Vibration Engineering,MSc,1 year,https://www.southampton.ac.uk/courses/acoustical-vibration-engineering-masters-msc
Actuarial Science,MSc,1 year,https://www.southampton.ac.uk/courses/actuarial-science-masters-msc
Advanced Biological Sciences,MRes,1 year,https://www.southampton.ac.uk/courses/advanced-biological-sciences-masters-mres
Advanced Chemical Engineering,MSc,1 year,https://www.southampton.ac.uk/courses/advanced-chemical-engineering-masters-msc
Advanced Clinical Practice (Advanced Allied Health Practitioner),MSc,2 to 5 years,https://www.southampton.ac.uk/courses/advanced-clinical-practice-advanced-allied-health-practitioner-masters-msc
Advanced Clinical Practice (Advanced Critical Care Practitioner),MSc,2 to 5 years,https://www.southampton.ac.uk/courses/advanced-clinical-practice-advanced-critical-care-practitioner-masters-msc
Advanced Clinical Practice (Advanced Neonatal Nurse Practitioner),MSc,2 to 5 years,https://www.southampton.ac.uk/courses/advanced-clinical-practice-advanced-neonatal-nurse-practitioner-masters-msc
Advanced Clinical Practice (Advanced Nurse Practitioner),MSc,2 to 5 years,https://www.southampton.ac.uk/courses/advanced-clinical-practice-advanced-nurse-practitioner-masters-msc
Advanced Clinical Practice and Supervision (Senior Wellbeing Practitioner),PGDip,2 years,https://www.southampton.ac.uk/courses/advanced-clinical-practice-supervision-senior-wellbeing-practitioner-masters-pgdip
Advanced Health Assessment and Prescribing,PGCert,3 years,https://www.southampton.ac.uk/courses/advanced-health-assessment-prescribing-masters-pgcert
Advanced Supervision,PGCert,1 year,https://www.southampton.ac.uk/courses/advanced-supervision-masters-pgcert
Aerodynamics and Computation,MSc,1 year,https://www.southampton.ac.uk/courses/aerodynamics-computation-masters-msc
Allergy,PGCert,2 years,https://www.southampton.ac.uk/courses/allergy-pgcert
Allergy,PGDip,2 to 4 years,https://www.southampton.ac.uk/courses/allergy-pgdip
Allergy,MSc,2 to 5 years,https://www.southampton.ac.uk/courses/allergy-masters-msc
Amputation and Prosthetic Rehabilitation,MSc,1 year,https://www.southampton.ac.uk/courses/amputation-prosthetic-rehabilitation-masters-msc
Applied Geographical Information Systems and Remote Sensing,MSc,1 year,https://www.southampton.ac.uk/courses/applied-geographical-information-systems-remote-sensing-masters-msc
Applied Linguistics for Language Teaching,MA,1 year,https://www.southampton.ac.uk/courses/applied-linguistics-for-language-teaching-masters-ma
Applied Statistics,MSc,1 year,https://www.southampton.ac.uk/courses/applied-statistics-masters-msc
Archaeology,MSc,1 year,https://www.southampton.ac.uk/courses/archaeology-masters-msc
Archaeology Bioarchaeology,MSc,1 year,https://www.southampton.ac.uk/courses/archaeology-bioarchaeology-masters-msc
Archaeology Palaeoanthropology,MSc,1 year,https://www.southampton.ac.uk/courses/archaeology-palaeoanthropology-masters-msc
Art and Design,PGCE,1 year,https://www.southampton.ac.uk/courses/art-and-design-pgce
Artificial Intelligence,MSc,1 year,https://www.southampton.ac.uk/courses/artificial-intelligence-masters-msc
Arts and Cultural Leadership,MA,1 year,https://www.southampton.ac.uk/courses/arts-cultural-leadership-masters-ma
Audiology,MSc,1 year,https://www.southampton.ac.uk/courses/audiology-masters-msc
Audiology with Clinical Placement,MSc,2 years,https://www.southampton.ac.uk/courses/audiology-with-clinical-placement-masters-msc
Big Data Biology,MRes,1 year,https://www.southampton.ac.uk/courses/big-data-biology-masters-mres
Biodiversity and Conservation,MSc,1 year,https://www.southampton.ac.uk/courses/biodiversity-conservation-masters-msc
Biomedical Engineering,MSc,1 year,https://www.southampton.ac.uk/courses/biomedical-engineering-masters-msc
Biomedical Sciences by Research,NA,1 year,https://www.southampton.ac.uk/courses/biomedical-sciences-by-research-masters-msc
Business Analytics and Finance,MSc,1 year,https://www.southampton.ac.uk/courses/business-analytics-finance-masters-msc
Business Analytics and Management Science,MSc,1 year,https://www.southampton.ac.uk/courses/business-analytics-management-science-masters-msc
Business Strategy and Innovation Management,MSc,1 year,https://www.southampton.ac.uk/courses/business-strategy-innovation-management-masters-msc
Business and Heritage Management,MSc,1 year,https://www.southampton.ac.uk/courses/business-heritage-management-masters-msc
Cancer Biology and Immunology,MSc,1 year,https://www.southampton.ac.uk/courses/cancer-biology-immunology-masters-msc
Chemistry,MSc,1 year,https://www.southampton.ac.uk/courses/chemistry-masters-msc
Chemistry by Research,MSc,1 year,https://www.southampton.ac.uk/courses/chemistry-by-research-masters-msc
Civil Engineering,MSc,1 year,https://www.southampton.ac.uk/courses/civil-engineering-masters-msc
Civil Engineering with Integrated Qualifying Year,MSc,2 years,https://www.southampton.ac.uk/courses/civil-engineering-with-integrated-qualifying-year-masters-msc
Clinical and Health Research,MRes,1 year,https://www.southampton.ac.uk/courses/clinical-health-research-masters-mres
Cognitive behavioural therapy (CBT) (Anxiety and Depression),PGDip,1 year,https://www.southampton.ac.uk/courses/cbt-anxiety-and-depression-pgdip
Cognitive behavioural therapy (CBT) (Severe Mental Health),PGCert,1 year,https://www.southampton.ac.uk/courses/cbt-severe-mental-health-pgcert
Cognitive behavioural therapy (CBT) (Severe Mental Health),PGDip,2 years,https://www.southampton.ac.uk/courses/cbt-severe-mental-health-pgdip
Communication Design,MA,1 year,https://www.southampton.ac.uk/courses/communication-design-masters-ma
Computational Engineering Design (Advanced Mechanical Engineering Science),MSc,1 year,https://www.southampton.ac.uk/courses/computational-engineering-design-advanced-mechanical-engineering-science-masters-msc
Computer Science,MSc,1 year,https://www.southampton.ac.uk/courses/computer-science-masters-msc
Contemporary Curating,MA,1 year,https://www.southampton.ac.uk/courses/contemporary-curating-masters-ma
Creative Technologies,MSc,1 year,https://www.southampton.ac.uk/courses/creative-technologies-masters-msc
Creative Writing,MA,1 year,https://www.southampton.ac.uk/courses/creative-writing-masters-ma
Criminology,MSc,1 year,https://www.southampton.ac.uk/courses/criminology-masters-msc
Cultural Heritage Studies,MA,1 year,https://www.southampton.ac.uk/courses/cultural-heritage-studies-masters-ma
Cultural Heritage Studies (Heritage and Museums),MA,1 year,https://www.southampton.ac.uk/courses/cultural-heritage-studies-heritage-museums-masters-ma
Cultural Heritage Studies (Heritage and Public History),MA,1 year,https://www.southampton.ac.uk/courses/cultural-heritage-studies-heritage-public-history-masters-ma
Cultural Heritage Studies (Heritage and the Arts),MA,1 year,https://www.southampton.ac.uk/courses/cultural-heritage-studies-heritage-the-arts-masters-ma
Cyber Security,MSc,1 year,https://www.southampton.ac.uk/courses/cyber-security-masters-msc
Data Analytics for Government,MSc,1 to 5 years,https://www.southampton.ac.uk/courses/data-analytics-for-government-masters-msc
Data Science,MSc,1 year,https://www.southampton.ac.uk/courses/data-science-masters-msc
Data and Decision Analytics,MSc,1 year,https://www.southampton.ac.uk/courses/data-decision-analytics-masters-msc
Demography,MSc,1 year,https://www.southampton.ac.uk/courses/demography-masters-msc
Design Management,MA,1 year,https://www.southampton.ac.uk/courses/design-management-masters-ma
Digital Business,MSc,1 year,https://www.southampton.ac.uk/courses/digital-business-masters-msc
Digital Chemistry,MSc,1 year,https://www.southampton.ac.uk/courses/digital-chemistry-masters-msc
Digital Marketing,MSc,1 year,https://www.southampton.ac.uk/courses/digital-marketing-masters-msc
Digital Strategy and Information Systems,MSc,1 year,https://www.southampton.ac.uk/courses/digital-strategy-information-systems-masters-msc
ELT/TESOL Studies,MA,1 year,https://www.southampton.ac.uk/courses/elttesol-studies-masters-ma
Economics,MRes,1 year,https://www.southampton.ac.uk/courses/economics-masters-mres
Economics,MSc,1 year,https://www.southampton.ac.uk/courses/economics-masters-msc
Education,MSc,1 year,https://www.southampton.ac.uk/courses/education-masters-msc
Education Management and Leadership,MSc,1 year,https://www.southampton.ac.uk/courses/education-management-and-leadership-masters-msc
Education Mental Health Practitioner,PGDip,1 year,https://www.southampton.ac.uk/courses/education-mental-health-practitioner-pgdip
Education Online,MSc,2 years,https://www.southampton.ac.uk/courses/education-online-masters-msc
Education Practice and Innovation,MSc,1 year,https://www.southampton.ac.uk/courses/education-practice-innovation-masters-msc
Electrical Power Systems,MSc,1 year,https://www.southampton.ac.uk/courses/electrical-power-systems-masters-msc
Electrochemistry and Battery Technologies,MSc,1 year,https://www.southampton.ac.uk/courses/electrochemistry-battery-technologies-masters-msc
Electronic Engineering,MSc,1 year,https://www.southampton.ac.uk/courses/electronic-engineering-masters-msc
"Energy and Sustainability: Energy, Environment and Buildings",MSc,1 year,https://www.southampton.ac.uk/courses/energy-sustainability-energy-environment-buildings-masters-msc
"Energy and Sustainability: Energy, Resources and Climate Change",MSc,1 year,https://www.southampton.ac.uk/courses/energy-sustainability-energy-resources-climate-change-masters-msc
Engineering Materials (Advanced Mechanical Engineering Science),MSc,1 year,https://www.southampton.ac.uk/courses/engineering-materials-advanced-mechanical-engineering-science-masters-msc
English,PGCE,1 year,https://www.southampton.ac.uk/courses/english-pgce
English Language Teaching TESOL,MA,1 year,https://www.southampton.ac.uk/courses/english-language-teaching-tesol-masters-ma
English Literary Studies,MA,1 year,https://www.southampton.ac.uk/courses/english-literary-studies-masters-ma
English Literary Studies (Eighteenth Century),MA,1 year,https://www.southampton.ac.uk/courses/english-literary-studies-eighteenth-century-masters-ma
English Literary Studies (Nineteenth Century),MA,1 year,https://www.southampton.ac.uk/courses/english-literary-studies-nineteenth-century-masters-ma
English Literary Studies (Postcolonial and World Literatures),MA,1 year,https://www.southampton.ac.uk/courses/english-literary-studies-postcolonial-world-literatures-masters-ma
English Literary Studies (Twentieth Century and Contemporary),MA,1 year,https://www.southampton.ac.uk/courses/english-literary-studies-twentieth-century-contemporary-masters-ma
Environmental Consultancy,MSc,1 year,https://www.southampton.ac.uk/courses/environmental-consultancy-masters-msc
Environmental Monitoring and Assessment,MSc,1 year,https://www.southampton.ac.uk/courses/environmental-monitoring-assessment-masters-msc
Environmental Pollution Control,MSc,1 year,https://www.southampton.ac.uk/courses/environmental-pollution-control-masters-msc
European Master's in Embedded Computing Systems,MSc,2 years,https://www.southampton.ac.uk/courses/european-masters-in-embedded-computing-systems-masters-msc
Evolution: From the Galapagos to the 21st Century,MRes,1 year,https://www.southampton.ac.uk/courses/evolution-from-the-galapagos-to-the-21st-century-masters-mres
Fashion Design,MA,1 year,https://www.southampton.ac.uk/courses/fashion-design-masters-ma
Fashion Management,MA,1 year,https://www.southampton.ac.uk/courses/fashion-management-masters-ma
Fashion Marketing and Branding,MA,1 year,https://www.southampton.ac.uk/courses/fashion-marketing-branding-masters-ma
Film Studies,MA,1 year,https://www.southampton.ac.uk/courses/film-studies-masters-ma
Film and Cultural Management,MA,1 year,https://www.southampton.ac.uk/courses/film-cultural-management-masters-ma
Finance,MSc,1 year,https://www.southampton.ac.uk/courses/finance-masters-msc
Finance and Econometrics,MSc,1 year,https://www.southampton.ac.uk/courses/finance-econometrics-masters-msc
Finance and Economics,MSc,1 year,https://www.southampton.ac.uk/courses/finance-economics-masters-msc
Fine Art,MA,1 year,https://www.southampton.ac.uk/courses/fine-art-masters-ma
Foundations of Clinical Psychology,MSc,1 year,https://www.southampton.ac.uk/courses/foundations-of-clinical-psychology-masters-msc
Genomics,MSc,1 year,https://www.southampton.ac.uk/courses/genomics-masters-msc
Geography,PGCE,1 year,https://www.southampton.ac.uk/courses/geography-pgce
Gerontology,MSc,1 year,https://www.southampton.ac.uk/courses/gerontology-masters-msc
Gerontology,PGCert,1 year,https://www.southampton.ac.uk/courses/gerontology-pgcert
Gerontology (Distance Learning),PGDip,1 year,https://www.southampton.ac.uk/courses/gerontology-distance-learning-pgdip
Gerontology (Distance Learning),PGCert,1 year,https://www.southampton.ac.uk/courses/gerontology-distance-learning-pgcert
Gerontology (Distance Learning),MSc,1 year,https://www.southampton.ac.uk/courses/gerontology-distance-learning-masters-msc
Gerontology: Research,MSc,1 year,https://www.southampton.ac.uk/courses/gerontology-research-masters-msc
Global Advertising and Branding,MA,1 year,https://www.southampton.ac.uk/courses/global-advertising-branding-masters-ma
Global Ageing and Policy (Distance Learning),PGDip,1 year,https://www.southampton.ac.uk/courses/global-ageing-and-policy-distance-learning-pgdip
Global Ageing and Policy (Distance Learning),PGCert,1 year,https://www.southampton.ac.uk/courses/global-ageing-and-policy-distance-learning-pgcert
Global Ageing and Policy (Distance Learning),MSc,1 year,https://www.southampton.ac.uk/courses/global-ageing-policy-distance-learning-masters-msc
Global Business Ethics and Philosophy of Management,MA,1 year,https://www.southampton.ac.uk/courses/global-business-ethics-philosophy-of-management-masters-ma
"Global Challenges - History, Policy and Practice",MA,1 year,https://www.southampton.ac.uk/courses/global-challenges-history-policy-practice-degree-MA
Global Health,MSc,1 year,https://www.southampton.ac.uk/courses/global-health-masters-msc
Global Literary Industries Management,MA,1 year,https://www.southampton.ac.uk/courses/global-literary-industries-management-masters-ma
Global Marine Resource Management,MSc,1 year,https://www.southampton.ac.uk/courses/global-marine-resource-management-masters-msc
Global Media Management,MA,1 year,https://www.southampton.ac.uk/courses/global-media-management-masters-ma
Health Psychology,MSc,1 year,https://www.southampton.ac.uk/courses/health-psychology-masters-msc
Higher Archaeological Practice,MSc,1 year,https://www.southampton.ac.uk/courses/higher-archaeological-practice-masters-msc
History,PGCE,1 year,https://www.southampton.ac.uk/courses/history-pgce
History,MA,1 year,https://www.southampton.ac.uk/courses/history-masters-ma
"Holocaust: History, Experience, Heritage",MA,1 year,https://www.southampton.ac.uk/courses/holocaust-history-experience-heritage-masters-ma
Human Resource Management,MSc,1 year,https://www.southampton.ac.uk/courses/human-resource-management-masters-msc
International Banking and Financial Studies,MSc,1 year,https://www.southampton.ac.uk/courses/international-banking-financial-studies-masters-msc
International Commercial and Corporate Law,LLM,1 year,https://www.southampton.ac.uk/courses/international-commercial-corporate-law-masters-llm
International Entrepreneurship and Management,MSc,1 year,https://www.southampton.ac.uk/courses/international-entrepreneurship-management-masters-msc
International Financial Markets,MSc,1 year,https://www.southampton.ac.uk/courses/international-financial-markets-masters-msc
International Law and Human Rights,LLM,1 year,https://www.southampton.ac.uk/courses/international-law-human-rights-masters-llm
International Management,MSc,1 year,https://www.southampton.ac.uk/courses/international-management-masters-msc
International Music Management,MA,1 year,https://www.southampton.ac.uk/courses/international-music-management-masters-ma
International Security and Risk,MSc,1 year,https://www.southampton.ac.uk/courses/international-security-risk-masters-msc
Internet of Things,MSc,1 year,https://www.southampton.ac.uk/courses/internet-of-things-masters-msc
Languages and Cultures,MA,1 year,https://www.southampton.ac.uk/courses/languages-cultures-masters-ma
Laws,LLM,1 year,https://www.southampton.ac.uk/courses/laws-masters-llm
Leadership and Management in Health and Social Care,MSc,1 year,https://www.southampton.ac.uk/courses/leadership-management-in-health-social-care-masters-msc
Logistics and Supply Chain Analytics,MSc,1 year,https://www.southampton.ac.uk/courses/logistics-supply-chain-analytics-masters-msc
Low Intensity Cognitive Behavioural Therapy with IAPT PWP Status,PGCert,1 year,https://www.southampton.ac.uk/courses/low-intensity-cognitive-behavioural-therapy-with-iapt-pwp-status-pgcert
Luxury Brand Management,MA,1 year,https://www.southampton.ac.uk/courses/luxury-brand-management-masters-ma
Marine Environment and Resources,MSc,2 years,https://www.southampton.ac.uk/courses/marine-environment-resources-masters-msc
Maritime Archaeology,MSc,1 year,https://www.southampton.ac.uk/courses/maritime-archaeology-masters-msc
Maritime Engineering Science: Advanced Computational Engineering,MSc,1 year,https://www.southampton.ac.uk/courses/maritime-engineering-science-advanced-computational-engineering-masters-msc
Maritime Engineering Science: Marine Engineering and Autonomy,MSc,1 year,https://www.southampton.ac.uk/courses/maritime-engineering-science-marine-engineering-autonomy-masters-msc
Maritime Engineering Science: Naval Architecture,MSc,1 year,https://www.southampton.ac.uk/courses/maritime-engineering-science-naval-architecture-masters-msc
Maritime Engineering Science: Ocean Energy & Offshore Engineering,MSc,1 year,https://www.southampton.ac.uk/courses/maritime-engineering-science-ocean-energy-offshore-engineering-masters-msc
Maritime Engineering Science: Yacht and High-performance Craft,MSc,1 year,https://www.southampton.ac.uk/courses/maritime-engineering-science-yacht-high-performance-craft-masters-msc
Maritime Law,LLM,1 year,https://www.southampton.ac.uk/courses/maritime-law-masters-llm
Marketing Analytics,MSc,1 year,https://www.southampton.ac.uk/courses/marketing-analytics-masters-msc
Marketing Management,MSc,1 year,https://www.southampton.ac.uk/courses/marketing-management-masters-msc
Master of Business Administration,MBA,1 year,https://www.southampton.ac.uk/courses/master-of-business-administration-masters-mba
Mathematics,PGCE,1 year,https://www.southampton.ac.uk/courses/secondary-mathematics-pgce
Mechatronics (Advanced Mechanical Engineering Science),MSc,1 year,https://www.southampton.ac.uk/courses/mechatronics-advanced-mechanical-engineering-science-masters-msc
Micro and Nanotechnology,MSc,1 year,https://www.southampton.ac.uk/courses/micro-nanotechnology-masters-msc
Microelectronics Systems Design,MSc,1 year,https://www.southampton.ac.uk/courses/microelectronics-systems-design-masters-msc
Mobile Communications and Smart Networking,MSc,1 year,https://www.southampton.ac.uk/courses/mobile-communications-smart-networking-masters-msc
Modern Languages,PGCE,1 year,https://www.southampton.ac.uk/courses/modern-languages-pgce
Music (Composition),MMus,1 year,https://www.southampton.ac.uk/courses/music-composition-masters-mmus
Music (Education),MMus,1 year,https://www.southampton.ac.uk/courses/music-education-masters-mmus
Music (Musicology),MMus,1 year,https://www.southampton.ac.uk/courses/music-musicology-masters-mmus
Music (Performance),MMus,1 year,https://www.southampton.ac.uk/courses/music-performance-masters-mmus
Neonatology,MSc,2 to 3 years,https://www.southampton.ac.uk/courses/neonatology-masters-msc
Neuroscience,MSc,1 year,https://www.southampton.ac.uk/courses/neuroscience-masters-msc
Nursing Studies,MSc,2 years,https://www.southampton.ac.uk/courses/nursing-studies-masters-msc
Nursing: Adult,PGDip,2 years,https://www.southampton.ac.uk/courses/nursing-adult-pgdip
Nursing: Adult,MSc,2 years,https://www.southampton.ac.uk/courses/nursing-adult-masters-msc
Nursing: Child,MSc,2 years,https://www.southampton.ac.uk/courses/nursing-child-masters-msc
Nursing: Child,PGDip,2 years,https://www.southampton.ac.uk/courses/nursing-child-pgdip
Nursing: Mental Health,PGDip,2 years,https://www.southampton.ac.uk/courses/nursing-mental-health-pgdip
Nursing: Mental Health,MSc,2 years,https://www.southampton.ac.uk/courses/nursing-mental-health-masters-msc
Occupational Therapy Pre-registration,MSc,2 years,https://www.southampton.ac.uk/courses/occupational-therapy-pre-registration-masters-msc
Ocean and Earth Science by Research,MSc,1 year,https://www.southampton.ac.uk/courses/ocean-earth-science-by-research-masters-msc
Oceanography,MSc,1 year,https://www.southampton.ac.uk/courses/oceanography-masters-msc
Operational Research,MSc,1 year,https://www.southampton.ac.uk/courses/operational-research-masters-msc
Operational Research and Finance,MSc,1 year,https://www.southampton.ac.uk/courses/operational-research-finance-masters-msc
Optical Engineering,MSc,1 year,https://www.southampton.ac.uk/courses/optical-engineering-masters-msc
Philosophy,MA,1 year,https://www.southampton.ac.uk/courses/philosophy-masters-ma
Physical Education,PGCE,1 year,https://www.southampton.ac.uk/courses/physical-education-pgce
Physiotherapy Pre-Registration,MSc,2 years,https://www.southampton.ac.uk/courses/physiotherapy-pre-registration-masters-msc
Primary,PGCE,1 year,https://www.southampton.ac.uk/courses/primary-pgce
Professional Practice in Health Sciences,MSc,1 year,https://www.southampton.ac.uk/courses/professional-practice-in-health-sciences-masters-msc
Project Management,MSc,1 year,https://www.southampton.ac.uk/courses/project-management-masters-msc
Propulsion and Engine Systems Engineering (Advanced Mechanical Engineering Science),MSc,1 year,https://www.southampton.ac.uk/courses/propulsion-engine-systems-engineering-advanced-mechanical-engineering-science-masters-msc
Psychology,MSc,1 year,https://www.southampton.ac.uk/courses/psychology-masters-msc
Psychology: Cognitive Psychology,MSc,1 year,https://www.southampton.ac.uk/courses/cognitive-psychology-masters-msc
Psychology: Research Methods,MSc,1 year,https://www.southampton.ac.uk/courses/psychology-research-methods-masters-msc
Psychology: Social Psychology,MSc,1 year,https://www.southampton.ac.uk/courses/social-psychology-masters-msc
Public Administration,MPA,1 year,https://www.southampton.ac.uk/courses/public-administration-masters-mpa
Public Health,MSc,1 year,https://www.southampton.ac.uk/courses/public-health-masters-msc
Public Health Global Health,MSc,1 year,https://www.southampton.ac.uk/courses/public-health-global-health-masters-msc
Public Health Intelligence,MSc,1 year,https://www.southampton.ac.uk/courses/public-health-intelligence-masters-msc
Public Health Management,MSc,1 year,https://www.southampton.ac.uk/courses/public-health-management-masters-msc
Race Car Aerodynamics,MSc,1 year,https://www.southampton.ac.uk/courses/race-car-aerodynamics-masters-msc
Risk Management,MSc,1 year,https://www.southampton.ac.uk/courses/risk-management-masters-msc
Risk and Finance,MSc,1 year,https://www.southampton.ac.uk/courses/risk-finance-masters-msc
Sciences,PGCE,1 year,https://www.southampton.ac.uk/courses/sciences-pgce
Secondary,PGCE,1 year,https://www.southampton.ac.uk/courses/secondary-pgce
Social Research Methods,MSc,1 year,https://www.southampton.ac.uk/courses/social-research-methods-masters-msc
Social Research Methods with Applied Statistics,MSc,1 year,https://www.southampton.ac.uk/courses/social-research-methods-with-applied-statistics-masters-msc
Sociology and Social Policy,MSc,1 year,https://www.southampton.ac.uk/courses/sociology-social-policy-masters-msc
Software Engineering,MSc,1 year,https://www.southampton.ac.uk/courses/software-engineering-masters-msc
Space Systems Engineering,MSc,1 year,https://www.southampton.ac.uk/courses/space-systems-engineering-masters-msc
Statistics,MSc,1 year,https://www.southampton.ac.uk/courses/statistics-masters-msc
Statistics with Applications in Medicine,MSc,1 year,https://www.southampton.ac.uk/courses/statistics-with-applications-in-medicine-masters-msc
Strategic Operations and Supply Chain Management,MSc,1 year,https://www.southampton.ac.uk/courses/strategic-operations-supply-chain-management-masters-msc
Sustainability,MSc,1 year,https://www.southampton.ac.uk/courses/sustainability-masters-msc
Sustainable Energy Technologies,MSc,1 year,https://www.southampton.ac.uk/courses/sustainable-energy-technologies-masters-msc
"Systems, Control and Signal Processing",MSc,1 year,https://www.southampton.ac.uk/courses/systems-control-signal-processing-masters-msc
Textile Design,MA,1 year,https://www.southampton.ac.uk/courses/textile-design-masters-ma
Translation and Professional Communication Skills,MA,1 year,https://www.southampton.ac.uk/courses/translation-professional-communication-skills-masters-ma
Transportation Planning and Engineering: Behaviour,MSc,1 year,https://www.southampton.ac.uk/courses/transportation-planning-engineering-behaviour-masters-msc
Transportation Planning and Engineering: Infrastructure,MSc,1 year,https://www.southampton.ac.uk/courses/transportation-planning-engineering-infrastructure-masters-msc
Transportation Planning and Engineering: Operations,MSc,1 year,https://www.southampton.ac.uk/courses/transportation-planning-engineering-operations-masters-msc
Water Resources Management,MSc,1 year,https://www.southampton.ac.uk/courses/water-resources-management-masters-msc
Wildlife Conservation,MRes,1 year,https://www.southampton.ac.uk/courses/wildlife-conservation-masters-mres
