Course_Title,Degree_Type,Attendance_Mode,Start_Date,Course_Link
Biochemistry (Chester) BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/biochemistry-chester
Biological Sciences (MRes) MRes,MRes,"Full-time - MRes, Part-time - MRes",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/biological-sciences-mres
Biology (Combined) BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/biology-combined
Biology BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/biology
Biology and Psychology,BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/biology-and-psychology
Biology and Sport and Exercise Sciences,BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/biology-and-sport-and-exercise-sciences
Biomedical Science BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/biomedical-science
Biomedical Science MSc,MSc,"Full-time - MSc, Part-time - MSc","Feb 2024, Oct 2024, Feb 2025",https://www1.chester.ac.uk/study/postgraduate/biomedical-science
Biotechnology MSc,MSc,"Full-time - MSc, Part-time - MSc","Jan 2024, Oct 2024",https://www1.chester.ac.uk/study/postgraduate/biotechnology
Bioveterinary Science BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/bioveterinary-science
Business Finance BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons), Full-time with Placement Year - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/business-finance
Business Management (Combined) BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Placement Year - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/business-management-combined
Business Management BA Hons,BA Hons,"Full-time - BA Hons, Full-time with Foundation Year - BA Hons, Full-time with Placement Year - BA Hons, Part-time - BA Hons","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/business-management
Business Management (Entrepreneurship) BA Hons,BA Hons,"Full-time - BA Hons, Full-time with Foundation Year - BA Hons, Full-time with Placement Year - BA Hons, Part-time - BA Hons","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/business-management-entrepreneurship
Business Management (Finance) BA Hons,BA Hons,"Full-time - BA Hons, Full-time with Foundation Year - BA Hons, Full-time with Placement Year - BA Hons, Part-time - BA Hons","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/business-management-finance
Business Management (Human Resource Management) BA Hons,BA Hons,"Full-time - BA Hons, Full-time with Foundation Year - BA Hons, Full-time with Placement Year - BA Hons, Part-time - BA Hons","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/business-management-human-resource-management
Business Management (Marketing) BA Hons,BA Hons,"Full-time - BA Hons, Full-time with Foundation Year - BA Hons, Full-time with Placement Year - BA Hons, Part-time - BA Hons","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/business-management-marketing
