Course_Title,Degree_Level,Start_Date,Course_Links
Product Design and Technology BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/product-design-and-technology-bsc
Professional Accounting and Finance MSc,Postgraduate MA/MSc courses,Jan-24,https://www.aston.ac.uk/study/courses/professional-accounting-and-finance-msc/january-2024
Professional Accounting and Finance MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/professional-accounting-and-finance-msc/september-2024
Professional Doctorate,Doctor of Hearing Therapy,Oct-24,https://www.aston.ac.uk/study/courses/professional-doctorate-doctor-hearing-therapy/october-2024
Professional Engineering (Control/Technical Support Engineer) Degree Apprenticeship BEng,Degree apprenticeships,Oct-24,https://www.aston.ac.uk/study/courses/professional-engineering-controltechnical-support-engineer-beng-degree-apprenticeship/october-2024
Professional Engineering BEng,Work,Oct-23,https://www.aston.ac.uk/study/courses/professional-engineering-beng/october-2023
Professional Engineering Manufacturing Engineer Degree Apprenticeship BEng,Degree apprenticeships,Oct-24,https://www.aston.ac.uk/study/courses/professional-engineering-manufacturing-engineer-degree-apprenticeship-beng/october-2024
Professional Engineering MSc,Work,Oct-23,https://www.aston.ac.uk/study/courses/professional-engineering-msc/october-2023
Project Manager Degree Apprenticeship,Degree apprenticeships,Sep-23,https://www.aston.ac.uk/study/courses/project-manager-degree-apprenticeship/september-2023
Psychiatric Pharmacy PgDip,Professional courses/CPD,Sep-24,https://www.aston.ac.uk/study/courses/psychiatric-pharmacy-pgdip/september-2024
Psychiatric Pharmacy Practice MSc,,Jul-24,https://www.aston.ac.uk/study/courses/psychiatric-pharmacy-practice-msc/july-2024
Psychiatric Pharmacy Practice MSc,Professional courses/CPD,Jan-24,https://www.aston.ac.uk/study/courses/psychiatric-pharmacy-practice-msc/january-2024
Psychology BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/psychology-bsc/september-2024
Psychology (Conversion) MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/psychology-conversion-msc/september-2024
Psychology and Business BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/psychology-and-business-bsc/september-2024
Psychology and Marketing BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/psychology-and-marketing-bsc/september-2024
Psychology and Sociology BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/psychology-and-sociology-bsc/september-2024
Public Health MPH,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/public-health-mph/september-2024
Quantity Surveying BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/quantity-surveying-bsc/september-2024
Refractive Surgery,Standalone module,Mar-24,https://www.aston.ac.uk/study/courses/refractive-surgery-standalone-module/march-2024
Refractive Surgery 2,Standalone module,Mar-24,https://www.aston.ac.uk/study/courses/refractive-surgery-2-standalone-module/march-2024
Research Scientist Degree Apprenticeship MRes,Degree apprenticeships,Sep-24,https://www.aston.ac.uk/study/courses/research-scientist-degree-apprenticeship-mres/september-2024
Robotics & Autonomous Systems MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/robotics-autonomous-systems-msc/september-2024
Science Industry Process/Plant Engineer Degree Apprenticeship BEng,Degree apprenticeships,Sep-24,https://www.aston.ac.uk/study/courses/science-industry-processplant-engineer-degree-apprenticeship-beng/september-2024
Skills Bootcamp in Cyber Security Fundamentals,"Postgraduate MA/MSc courses, Professional courses/CPD",Jan-24,https://www.aston.ac.uk/study/courses/skills-bootcamp-cyber-security-fundamentals/january-2024
Skills Bootcamp in Software Engineering,Professional courses/CPD,Sep-22,https://www.aston.ac.uk/study/courses/skills-bootcamp-software-engineering
Smart Manufacturing MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/smart-manufacturing-msc/september-2024
Sociology BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/sociology-bsc
Sociology and Social Policy BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/sociology-and-social-policy-bsc
Stem Cells and Regenerative Medicine MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/stem-cells-and-regenerative-medicine-msc/september-2024
Strategic Digital Marketing MSc,Postgraduate MA/MSc courses,Jan-24,https://www.aston.ac.uk/study/courses/strategic-digital-marketing-msc/january-2024
Strategic Digital Marketing MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/strategic-digital-marketing-msc/september-2024
Strategic Marketing Management MSc,Postgraduate MA/MSc courses,Jan-24,https://www.aston.ac.uk/study/courses/strategic-marketing-management-msc/january-2024
Strategic Marketing Management MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/strategic-marketing-management-msc/september-2024
Strategy and International Business MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/strategy-and-international-business-msc/september-2024
Supply Chain Leadership & Management Degree Apprenticeship PgDip,Degree apprenticeships,Nov-24,https://www.aston.ac.uk/study/courses/supply-chain-leadership-management-degree-apprenticeship-pgdip/november-2024
Supply Chain Management (Professional Practice) Degree Apprenticeship BSc (Hons),Degree apprenticeships,Sep-24,https://www.aston.ac.uk/study/courses/supply-chain-management-professional-practice-degree-apprenticeship-bsc/september-2024
Supply Chain Management MSc,Postgraduate MA/MSc courses,Jan-24,https://www.aston.ac.uk/study/courses/supply-chain-management-msc/january-2024
Supply Chain Management MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/supply-chain-management-msc/september-2024
Sustainable Business Operations Management MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/sustainable-business-operations-management-msc/september-2024
Sustainable Engineering (including Professional Practice) MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/sustainable-engineering-including-professional-practice-msc/september-2024
Sustainable Engineering MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/sustainable-engineering-msc/september-2024
Teaching English to Speakers of Other Languages (TESOL) MA,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/teaching-english-speakers-other-languages-tesol-ma/september-2024
Teaching English to Speakers of Other Languages (TESOL) MA (Distance Learning),"Postgraduate MA/MSc courses, Online courses",Sep-24,https://www.aston.ac.uk/study/courses/teaching-english-speakers-other-languages-tesol-ma-distance-learning/september-2024
Tinnitus Management,Standalone module,Oct-23,https://www.aston.ac.uk/study/courses/tinnitus-management-standalone-module/october-2023
Transport Management BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/transport-management-bsc/september-2024
Transport Planning Degree Apprenticeship BSc (Hons),Degree apprenticeships,Sep-24,https://www.aston.ac.uk/study/courses/transport-planning-degree-apprenticeship-bsc/september-2024
Vestibular Rehabilitation,Standalone module,Oct-23,https://www.aston.ac.uk/study/courses/vestibular-rehabilitation-standalone-module/october-2023
Work Psychology and Business MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/work-psychology-and-business-msc/september-2024
