Course_Title,Degree_Level,Attendance_Mode,Course_Link
Artificial Intelligence Strategy MSc (Brunel Business School),Postgraduate,1 year full-time; 16 months full-time ; 2 years full-time ; 15 months full-time; 19 months full-time ; 27 months full-time,https://www.brunel.ac.uk/study/postgraduate/artificial-intelligence-strategy-msc
Automotive and Motorsport Engineering MSc,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/automotive-and-motorsport-engineering-msc
Automotive Engineering BEng,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/automotive-engineering-beng
Automotive Engineering MEng,Undergraduate,4 years full-time; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/automotive-engineering-meng
Banking and Finance BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/banking-and-finance-bsc
Banking and Finance MSc,Postgraduate,1 year full-time; 16 months full-time ; 2 years full-time ; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/banking-and-finance-msc
Biological Sciences (for intercalated students) BSc,Undergraduate,1 year full-time,https://www.brunel.ac.uk/study/undergraduate/biological-sciences-for-intercalated-students-bsc
Biomedical Engineering PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/biomedical-engineering-phd
Biomedical Sciences (Biochemistry) BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/biomedical-sciences-biochemistry-bsc
Biomedical Sciences (Genetics) BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/biomedical-sciences-genetics-bsc
Biomedical Sciences (Human Health) BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/biomedical-sciences-human-health-bsc
Biomedical Sciences (Immunology) BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/biomedical-sciences-immunology-bsc
Biomedical Sciences BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/biomedical-sciences-bsc
Biosciences PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-biosciences
Building Services Engineering Management MSc,Postgraduate,3 years part-time distance learning,https://www.brunel.ac.uk/study/postgraduate/building-services-engineering-management-msc
Building Services Engineering MSc,Postgraduate,1 year full-time; 3 years part-time distance learning,https://www.brunel.ac.uk/study/postgraduate/building-services-engineering-msc
Building Services Engineering with Sustainable Energy MSc,Postgraduate,3 years part-time distance learning,https://www.brunel.ac.uk/study/postgraduate/building-services-engineering-with-sustainable-energy-msc
Business Administration MBA (Brunel Business School),Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/business-administration-mba
