Course_Title,Degree_Level,Attendance_Mode,Course_Link
Human Resource Management MSc (Brunel Business School),Postgraduate,1 year full-time; 2 years full-time ; 16 months full-time ; 15 months full-time; 27 months full-time ; 19 months full-time,https://www.brunel.ac.uk/study/postgraduate/human-resource-management-msc
Industrial Design BA,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/industrial-design-ba
Industrial Design BA MDes,Undergraduate,3 years full-time; 4 years full-time ; 4 years full-time; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/industrial-design-ba-mdes
Industrial Design MDes,Undergraduate,4 years full-time; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/industrial-design-mdes
Information Systems and Computing Integrated PhD,PhD & Research,4 years full-time,https://www.brunel.ac.uk/study/postgraduate/information-systems-and-computing-integrated-phd
Integrated Product Design MSc,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/integrated-product-design-msc
Intellectual Property Law LLM,Postgraduate,12-15 months full-time; 16-27 months with placement full-time; 24-27 months part-time; 27-36 months with placement part-time,https://www.brunel.ac.uk/study/postgraduate/intellectual-property-law-llm
Intellectual Property Law Postgraduate Certificate,Postgraduate,8 months part-time; 1 year part-time,https://www.brunel.ac.uk/study/postgraduate/intellectual-property-law-postgraduate-certificate
Intelligence Analysis PG Cert (Distance Learning),Postgraduate,9 months part-time distance learning,https://www.brunel.ac.uk/study/postgraduate/intelligence-analysis-pg-cert-distance-learning
Intelligence and Security Studies (Distance Learning) MA,Postgraduate,2 years part-time distance learning,https://www.brunel.ac.uk/study/postgraduate/intelligence-and-security-studies-distance-learning-ma
Intelligence and Security Studies MA,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/intelligence-and-security-studies-ma
Intelligence and Security Studies PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/intelligence-and-security-studies-phd
International Business BSc (Brunel Business School),Undergraduate,3 year full-time; 4 year full-time,https://www.brunel.ac.uk/study/undergraduate/international-business-bsc
International Business MSc (Brunel Business School),Postgraduate,1 year full-time; 16 months full-time ; 2 years full-time ; 15 months full-time; 19 months full-time ; 27 months full-time,https://www.brunel.ac.uk/study/postgraduate/international-business-msc
International Commercial Law LLM,Postgraduate,12-15 months full-time; 16-27 months with placement full-time; 24-27 months part-time; 27-36 months with placement part-time,https://www.brunel.ac.uk/study/postgraduate/international-commercial-law-llm
International Financial Regulation and Corporate Law LLM,Postgraduate,12-15 months full-time; 16-27 months with placement full-time; 24-27 months part-time; 27-36 months with placement part-time,https://www.brunel.ac.uk/study/postgraduate/international-financial-regulation-and-corporate-law-llm
International Human Rights Law LLM,Postgraduate,12-15 months full-time; 16-27 months with placement full-time; 24-27 months part-time; 27-36 months with placement part-time,https://www.brunel.ac.uk/study/postgraduate/international-human-rights-law-llm
International Journalism MA,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/international-journalism-ma
International Politics BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/international-politics-bsc
International Relations and History BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/international-relations-and-history-bsc
International Relations MA,Postgraduate,1 year full-time; 15 months full-time ; 2 years part-time; 2.5 years part-time,https://www.brunel.ac.uk/study/postgraduate/international-relations-ma
Journalism (Communication) BA,Undergraduate,3 years full-time,https://www.brunel.ac.uk/study/undergraduate/journalism-communication-ba
Journalism (Politics) BA,Undergraduate,3 years full-time,https://www.brunel.ac.uk/study/undergraduate/journalism-politics-ba
Journalism PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-journalism
Law (Graduate Entry) LLB,Undergraduate,2 years full-time; 3 years full-time,https://www.brunel.ac.uk/study/undergraduate/law-graduate-entry-llb
Law Integrated PhD,PhD & Research,4 years full-time,https://www.brunel.ac.uk/study/postgraduate/law-integrated-phd
Law LLB,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/law-llb
Law PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-law
Law with Criminal Justice LLB,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/law-with-criminal-justice-llb
Law with International Arbitration and Commercial Law LLB,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/law-with-international-arbitration-and-commercial-law-llb
Life Sciences BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/life-sciences-bsc
Life Sciences Integrated PhD,PhD & Research,4 years full-time,https://www.brunel.ac.uk/study/postgraduate/life-sciences-integrated-phd
Lightweight Structures and Impact Engineering MSc,Postgraduate,1 year full-time; 2 years part-time; 24 months full-time,https://www.brunel.ac.uk/study/postgraduate/lightweight-structures-and-impact-engineering-msc
Management MSc (Brunel Business School),Postgraduate,1 year full-time; 16 months full-time ; 2 years full-time ; 15 months full-time; 19 months full-time ; 27 months full-time,https://www.brunel.ac.uk/study/postgraduate/management-msc
Management PhD (Brunel Business School),PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-management
Manufacturing and Enterprise Engineering PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-manufacturing-enterprise-engineering
Marketing BSc (Brunel Business School),Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/marketing-bsc
Marketing MSc (Brunel Business School),Postgraduate,1 year full-time; 16 months full-time ; 2 years full-time ; 15 months full-time; 19 months full-time ; 27 months full-time,https://www.brunel.ac.uk/study/postgraduate/marketing-msc
Master of Laws (LLM Law),Postgraduate,12-15 months full-time; 16-27 months with placement full-time; 24-27 months part-time; 27-36 months with placement part-time,https://www.brunel.ac.uk/study/postgraduate/master-of-laws-llm-law
Materials Characterisation and Processing PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/materials-characterisation-and-processing-phd
Materials Engineering PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-materials-engineering
Mathematical Sciences Integrated PhD,PhD & Research,4 years full-time,https://www.brunel.ac.uk/study/postgraduate/mathematical-sciences-integrated-phd
Mathematics and Computing with Integrated Foundation Year,Undergraduate; Foundation,4 years full-time; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/mathematics-and-computing-with-integrated-foundation-year
Mathematics BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/mathematics-bsc
Mathematics for Data Science BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/mathematics-for-data-science-bsc
Mathematics MMath,Undergraduate,4 years full-time; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/mathematics-mmath
Mathematics PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-mathematics
Mathematics with Computer Science BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/mathematics-with-computer-science-bsc
Mechanical and Aerospace Engineering Integrated PhD,PhD & Research,4 years full-time,https://www.brunel.ac.uk/study/postgraduate/mechanical-and-aerospace-engineering-integrated-phd
Mechanical Engineering BEng,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/mechanical-engineering-beng
Mechanical Engineering Integrated PhD,PhD & Research,4 years full-time,https://www.brunel.ac.uk/study/postgraduate/mechanical-engineering-integrated-phd
Mechanical Engineering MEng,Undergraduate,4 years full-time; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/mechanical-engineering-meng
Mechanical Engineering PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-mechanical-engineering
Mechanisms and Therapy in Cancer MSc,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/mechanisms-and-therapy-in-cancer-msc
Mechanisms and Therapy in Infection and Inflammation MSc,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/mechanisms-and-therapy-in-infection-and-inflammation-msc
Media and Communications (Media Practice) MSc,Postgraduate,1 year full-time full-time; 2 years full-time part-time,https://www.brunel.ac.uk/study/postgraduate/media-and-communications-media-practice-msc
Media and Communications BSc,Undergraduate,3 years full-time; 4 years full-time ; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/media-and-communications-bsc
Media and Communications MSc,Postgraduate,1 year full-time; 2 years full-time part-time,https://www.brunel.ac.uk/study/postgraduate/media-and-communications-msc
Media and Public Relations MA,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/media-and-public-relations-ma
Medical Anthropology MSc,Postgraduate,1 year full-time; 2 or 2.5 years part-time,https://www.brunel.ac.uk/study/postgraduate/medical-anthropology-msc
Medicine MBBS,Undergraduate,5 years full-time,https://www.brunel.ac.uk/study/undergraduate/medicine-mbbs
Metallurgy PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-metallurgy
Micro-Nano Manufacturing PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/micro-nano-manufacturing-phd
Military and International History BA,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/military-and-international-history-ba
Musculoskeletal Ultrasound Foot and Ankle PgCert,Postgraduate,12 Months part-time,https://www.brunel.ac.uk/study/postgraduate/musculoskeletal-ultrasound-foot-and-ankle-pg-cert
Musculoskeletal Ultrasound PgCert,Postgraduate,1 year part-time,https://www.brunel.ac.uk/study/postgraduate/musculoskeletal-ultrasound-pgcert
Music (Production) BA,Undergraduate,3 years full-time; 4 years full-time ; 4.5 to 6 years part-time,https://www.brunel.ac.uk/study/undergraduate/music-production-ba
Music BA,Undergraduate,3 years full-time; 4 years full-time ; 4.5 to 6 years part-time,https://www.brunel.ac.uk/study/undergraduate/music-ba
Music PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-music
Nursing (Adult) BSc,Undergraduate,3 years full-time,https://www.brunel.ac.uk/study/undergraduate/nursing-adult-bsc
Nursing (Child Health) BSc,Undergraduate,3 years full-time,https://www.brunel.ac.uk/study/undergraduate/nursing-child-health-bsc
Nursing (Mental Health) BSc,Undergraduate,3 years full-time,https://www.brunel.ac.uk/study/undergraduate/nursing-mental-health-bsc
Occupational Therapy (Pre-registration) MSc,Postgraduate,2 years full-time,https://www.brunel.ac.uk/study/postgraduate/occupational-therapy-pre-registration-msc
Occupational Therapy BSc,Undergraduate,3 years full-time,https://www.brunel.ac.uk/study/undergraduate/occupational-therapy-bsc
Occupational Therapy PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-occupational-therapy
Oil and Gas Engineering MSc,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/oil-and-gas-engineering-msc
PGCE in Primary Education (5-11 years) with recommendation for QTS,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/pgce-in-primary-education-5-11-years-with-recommendation-for-qts
PGCE in Secondary Education (English) with Recommendation for QTS,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/pgce-in-secondary-education-english-with-recommendation-for-qts
PGCE in Secondary Education (Mathematics) with recommendation for QTS,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/pgce-in-secondary-education-mathematics-with-recommendation-for-qts
PGCE in Secondary Education (Physical Education) with Recommendation for QTS,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/pgce-in-secondary-education-physical-education-with-recommendation-for-qts
PGCE in Secondary Education (Physics with Mathematics) with recommendation for QTS,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/pgce-in-secondary-education-physics-with-mathematics-with-recommendation-for-qts
PGCE in Secondary Education (Science with Biology) with recommendation for QTS,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/pgce-in-secondary-education-science-with-biology-with-recommendation-for-qts
PGCE in Secondary Education (Science with Chemistry) with recommendation for QTS,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/pgce-in-secondary-education-science-with-chemistry-with-recommendation-for-qts
PGCE in Secondary Education (Science with Physics) with recommendation for QTS,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/pgce-in-secondary-education-science-with-physics-with-recommendation-for-qts
PhD without residence - Ahlia (Brunel Business School),PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-without-residence-ahlia
Physician Associate MSc,Postgraduate,2 years full-time,https://www.brunel.ac.uk/study/postgraduate/physician-associate-msc
Physiotherapy (Pre-registration) MSc,Postgraduate,2 years full-time,https://www.brunel.ac.uk/study/postgraduate/physiotherapy-pre-registration-msc
Physiotherapy BSc,Undergraduate,3 years full-time,https://www.brunel.ac.uk/study/undergraduate/physiotherapy-bsc
Physiotherapy PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-physiotherapy
Political Communication MSc,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/political-communication-msc
Politics and History BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/politics-and-history-bsc
Politics and History PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-politics-and-history
Politics and Sociology BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/politics-and-sociology-bsc
Politics BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/politics-bsc
Pre-sessional English,Pre-sessional,,https://www.brunel.ac.uk/study/undergraduate/pre-sessional-english
Pre-sessional for Brunel Pathway College,Pre-sessional,,https://www.brunel.ac.uk/study/undergraduate/pre-sessional-for-brunel-pathway-college
Product Design Engineering BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/product-design-engineering-bsc-2
Product Design Engineering BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/product-design-engineering-bsc
Product Design Engineering MDes,Undergraduate,4 years full-time; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/product-design-engineering-mdes
Project and Infrastructure Management MSc,Postgraduate,1 year full-time; 14 months full-time,https://www.brunel.ac.uk/study/postgraduate/project-and-infrastructure-management-msc
Psychological and Psychiatric Anthropology MSc,Postgraduate,1 year full-time; 2 or 2.5 years part-time,https://www.brunel.ac.uk/study/postgraduate/psychological-and-psychiatric-anthropology-msc
Psychological Sciences (Conversion) MSc,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/psychological-sciences-conversion-msc
"Psychology (Sport, Health and Exercise) BSc",Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/psychology-sport-health-and-exercise-bsc
Psychology BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/psychology-bsc
Psychology PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-psychology
"Psychology, Culture and Evolution MSc",Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/psychology-culture-and-evolution-msc
Public Health and Health Promotion MSc,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/public-health-and-health-promotion-msc
Public Health and Health Promotion PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/public-health-and-health-promotion-phd
Renewable Energy Engineering MSc,Postgraduate,1 year full-time; 3 years part-time distance learning,https://www.brunel.ac.uk/study/postgraduate/renewable-energy-engineering-msc
Resource Efficient Future Cities PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/resource-efficient-future-cities-phd
Screen Media (Film and TV) PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-screen-media
Smart Power Networks PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/smart-power-networks-phd
Social Anthropology MRes,Postgraduate,1 year full-time; 2 or 2.5 years part-time,https://www.brunel.ac.uk/study/postgraduate/social-anthropology-mres
Social Work MSc,Postgraduate,2 years full-time; 4 years part-time,https://www.brunel.ac.uk/study/postgraduate/social-work-msc
Social Work PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-social-work
Sociology (Digital Media) BSc,Undergraduate,3 years full-time; 4 years full-time ; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/sociology-digital-media-bsc
Sociology and Communication PhD,PhD & Research,3 years full-time; 6 months part-time,https://www.brunel.ac.uk/study/postgraduate/phd-sociology-and-communication
Sociology BSc,Undergraduate,3 years full-time; 4 years full-time ; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/sociology-bsc
Specialist Community Public Health Nursing BSc,Undergraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/undergraduate/specialist-community-public-health-nursing-bsc
Specialist Community Public Health Nursing PgDip and MSc,Postgraduate,52 weeks full-time; 104 weeks part-time,https://www.brunel.ac.uk/study/postgraduate/specialist-community-public-health-nursing-pgdip-and-msc
Sport and Exercise Psychology MSc,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/sport-and-exercise-psychology-msc
"Sport, Health and Exercise Sciences (Physical Education, Coaching and Social Issues) BSc",Undergraduate,3 years full-time; 3 years full-time compressed-sandwich; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/sport-health-and-exercise-sciences-physical-education-coaching-and-social-issues-bsc
"Sport, Health and Exercise Sciences BSc",Undergraduate,3 years full-time; 3 years full-time compressed-sandwich; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/sport-health-and-exercise-sciences-bsc
"Sport, Health and Exercise Sciences MSc",Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/sport-health-and-exercise-sciences-msc
"Sport, Health and Exercise Sciences PhD",PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-sport-sciences
"Sport, Health and Exercise Sciences with Business Studies BSc",Undergraduate,3 years full-time; 3 years full-time compressed-sandwich; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/sport-health-and-exercise-sciences-with-business-studies-bsc
Statistics with Data Analytics MSc,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/statistics-with-data-analytics-msc
Structural Engineering MSc,Postgraduate,1 year full-time; 14 months full-time,https://www.brunel.ac.uk/study/postgraduate/structural-engineering-msc
Structural Integrity (Asset Reliability Management) MSc,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/structural-integrity-asset-reliability-management-msc
Structural Integrity PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/structural-integrity-phd
"Sustainability, Entrepreneurship and Design MSc",Postgraduate,1 year full-time; 21 months full-time,https://www.brunel.ac.uk/study/postgraduate/sustainability-entrepreneurship-and-design-msc
Sustainable Electrical Power MSc,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/sustainable-electrical-power-msc
Synthetic Biology PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/synthetic-biology-phd
Theatre and Creative Writing BA,Undergraduate,3 years full-time; 4 years full-time ; 4 to 7 years part-time,https://www.brunel.ac.uk/study/undergraduate/theatre-and-creative-writing-ba
Theatre and English BA,Undergraduate,3 years full-time; 4 years full-time ; 4.5 to 6 years part-time,https://www.brunel.ac.uk/study/undergraduate/theatre-and-english-ba
Theatre BA,Undergraduate,3 years full-time; 4 years full-time ; 4-7 years part-time,https://www.brunel.ac.uk/study/undergraduate/theatre-ba
Theatre PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-theatre
Ultrasound Guided Injection Therapy,Postgraduate,4 months part-time,https://www.brunel.ac.uk/study/postgraduate/ultrasound-guided-injection-therapy-pgcert
Undergraduate Pathway in Accountancy,Foundation,2 semesters full-time,https://www.brunel.ac.uk/study/undergraduate/undergraduate-pathway-in-accountancy-brunel-pathway-college
Undergraduate Pathway in Business and Management (Brunel Business School),Foundation,Foundation: 2 semesters full-time; First Year: 2 semesters full-time,https://www.brunel.ac.uk/study/undergraduate/undergraduate-pathway-in-business-and-management-brunel-pathway-college
Undergraduate Pathway in Computer Science,Foundation,"Foundation: 2 semesters, First year: 2 semesters full-time",https://www.brunel.ac.uk/study/undergraduate/undergraduate-pathway-in-computer-science-brunel-pathway-college
Undergraduate Pathway in Design,Foundation,2 semesters full-time,https://www.brunel.ac.uk/study/undergraduate/undergraduate-pathway-in-design-brunel-pathway-college
Undergraduate Pathway in Economics and Finance,Foundation,2 semesters full-time,https://www.brunel.ac.uk/study/undergraduate/undergraduate-pathway-in-economics-and-finance-brunel-pathway-college
Undergraduate Pathway in Engineering,Foundation,2 semesters full-time,https://www.brunel.ac.uk/study/undergraduate/undergraduate-pathway-in-engineering-brunel-pathway-college
"Undergraduate Pathway in Humanities, Social Sciences Education and Psychology",Foundation,2 semesters full-time,https://www.brunel.ac.uk/study/undergraduate/undergraduate-pathway-in-humanities-social-sciences-education-psychology-brunel-pathway-college
Undergraduate Pathway in Law,Foundation,2 semesters full-time,https://www.brunel.ac.uk/study/undergraduate/undergraduate-pathway-in-law-brunel-pathway-college
Undergraduate Pathway in Life Sciences,Foundation,2 semesters full-time,https://www.brunel.ac.uk/study/undergraduate/undergraduate-pathway-in-life-sciences-brunel-pathway-college
Visual Effects and Motion Graphics BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/visual-effects-and-motion-graphics-bsc
Water and Environmental Engineering MSc,Postgraduate,1 year full-time; 14 months full-time,https://www.brunel.ac.uk/study/postgraduate/water-and-environmental-engineering-msc
"Welfare, Health and Wellbeing PhD",PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/welfare-health-and-wellbeing-phd
Wireless and Computer Communication Networks MSc,Postgraduate,1 year full-time; 14 months full-time,https://www.brunel.ac.uk/study/postgraduate/wireless-and-computer-communication-networks-systems-msc
